portfolio,avg_monthly_return_pct,post_ranking_beta,avg_size
B1,1.644,0.8381,34661285.81
B2,1.166,0.9449,16784521.81
B3,1.501,0.7769,12960392.92
B4,1.394,0.9048,10964675.56
B5,0.944,0.7733,12166898.79
B6,0.950,0.9287,9769454.99
B7,0.731,0.7896,11162494.01
B8,0.888,0.9999,10381475.85
B9,1.109,1.2465,12317927.56
B10,0.836,1.1280,14387455.14
