portfolio,avg_monthly_return_pct,post_ranking_beta,avg_size
S1,2.711,1.1197,1580335.20
S2,1.981,0.9786,2254451.02
S3,1.716,0.9875,2827071.00
S4,1.401,1.0374,3481846.74
S5,1.325,0.9940,4314567.05
S6,1.223,0.9665,5460828.63
S7,1.143,0.9860,7258144.68
S8,0.913,0.9180,10306571.20
S9,0.953,0.9624,16999257.18
S10,0.815,0.9399,85548970.60
