portfolio,avg_monthly_return_pct,post_ranking_beta,avg_size
S1,1.884,1.1161,1873752.51
S2,1.518,1.1528,2683504.48
S3,1.167,1.1761,3384599.58
S4,0.961,1.1803,4190561.50
S5,0.803,1.1519,5222864.91
S6,0.770,1.1695,6663651.51
S7,0.691,1.1735,8944100.86
S8,0.594,1.1480,12833607.67
S9,0.496,1.1247,21356659.91
S10,0.467,0.8834,106884667.45
