portfolio,avg_monthly_return_pct,post_ranking_beta,avg_size
B1,0.777,0.6593,44802351.84
B2,0.766,0.9425,20385505.75
B3,0.641,0.9956,15555050.68
B4,0.734,1.0907,13191669.67
B5,0.615,1.0810,14487141.42
B6,0.518,1.1001,11910466.56
B7,0.517,1.1203,13677665.25
B8,0.515,1.1555,12746631.32
B9,0.462,1.2140,15275708.55
B10,-0.059,1.2909,17636783.21
