model,coefficient,avg_lambda,nw12_tstat
M1_beta,intercept,0.0366987503,1.7904
M1_beta,beta,-0.0227564846,-1.3440
M2_ln_size,intercept,0.1796128641,4.8351
M2_ln_size,ln_size,-0.0115388128,-4.4178
M3_ln_be_me,intercept,-0.0154675873,-0.4231
M3_ln_be_me,ln_be_me,0.0059034930,0.8970
M4_beta_ln_size,intercept,0.2660238217,2.9287
M4_beta_ln_size,beta,-0.0170769668,-1.3713
M4_beta_ln_size,ln_size,-0.0167687342,-2.4776
M5_beta_ln_be_me,intercept,0.0190405712,0.5022
M5_beta_ln_be_me,beta,-0.0213421236,-1.2491
M5_beta_ln_be_me,ln_be_me,0.0022147335,0.3293
M6_ln_size_ln_be_me,intercept,0.1745827546,2.0491
M6_ln_size_ln_be_me,ln_size,-0.0126955830,-3.0899
M6_ln_size_ln_be_me,ln_be_me,0.0040090438,0.5983
M7_all3,intercept,0.2464066057,1.8433
M7_all3,beta,-0.0157312427,-1.3085
M7_all3,ln_size,-0.0157797402,-2.1078
M7_all3,ln_be_me,-0.0001915827,-0.0268
