portfolio,avg_monthly_return_pct,post_ranking_beta,avg_size
B1,4.227,0.8689,2835941.85
B2,1.587,0.9449,2326324.88
B3,3.532,0.6202,1847956.35
B4,2.889,0.7831,2779986.59
B5,1.010,0.5846,2665610.77
B6,1.309,0.8275,2406454.34
B7,-0.193,0.5857,3143894.49
B8,0.619,0.8946,2141301.50
B9,2.283,1.2976,2712173.93
B10,2.066,1.0614,2991206.02
