portfolio,avg_monthly_return_pct,avg_size
M1,2.069,4092316.77
M2,1.894,2293740.90
M3,1.328,2137546.73
M4,0.883,1947344.44
M5,2.134,2074727.74
M6,1.282,2124921.54
M7,2.472,2027471.40
M8,1.104,1961606.70
M9,2.455,2075038.57
M10,2.453,2546734.42
