size_decile,beme_decile_within_size,portfolio,avg_monthly_return_pct,avg_size
1,1,S1M1,6.673,578166.18
1,2,S1M2,5.393,604824.04
1,3,S1M3,4.757,603280.52
1,4,S1M4,6.276,609538.18
1,5,S1M5,4.614,589575.85
1,6,S1M6,5.510,571633.23
1,7,S1M7,4.091,584771.10
1,8,S1M8,6.946,584669.88
1,9,S1M9,5.957,580321.62
1,10,S1M10,5.630,631410.96
2,1,S2M1,3.205,801736.45
2,2,S2M2,2.214,818629.87
2,3,S2M3,2.536,823570.39
2,4,S2M4,5.041,821552.30
2,5,S2M5,3.405,838375.58
2,6,S2M6,3.103,802094.97
2,7,S2M7,3.819,847812.65
2,8,S2M8,3.539,801244.57
2,9,S2M9,2.411,826396.67
2,10,S2M10,2.938,863619.83
3,1,S3M1,1.936,970056.07
3,2,S3M2,3.931,998910.54
3,3,S3M3,1.728,997971.08
3,4,S3M4,4.238,961533.53
3,5,S3M5,2.745,1002634.93
3,6,S3M6,3.799,987529.15
3,7,S3M7,3.010,955256.71
3,8,S3M8,6.112,1007392.05
3,9,S3M9,4.657,977458.62
3,10,S3M10,4.208,1015195.42
4,1,S4M1,1.011,1163206.97
4,2,S4M2,3.312,1154193.65
4,3,S4M3,2.779,1187190.40
4,4,S4M4,3.579,1198142.19
4,5,S4M5,3.386,1222595.53
4,6,S4M6,1.691,1167614.68
4,7,S4M7,5.065,1197918.50
4,8,S4M8,1.376,1182507.60
4,9,S4M9,2.454,1183268.53
4,10,S4M10,4.836,1245553.52
5,1,S5M1,0.240,1445045.71
5,2,S5M2,2.048,1397517.62
5,3,S5M3,1.645,1386334.22
5,4,S5M4,3.827,1443045.48
5,5,S5M5,3.573,1388557.77
5,6,S5M6,3.189,1425347.36
5,7,S5M7,3.486,1400381.95
5,8,S5M8,3.772,1418974.79
5,9,S5M9,0.767,1393008.04
5,10,S5M10,3.642,1470168.57
6,1,S6M1,0.036,1689102.05
6,2,S6M2,4.252,1682163.11
6,3,S6M3,2.725,1621043.89
6,4,S6M4,0.723,1737916.42
6,5,S6M5,3.895,1653730.68
6,6,S6M6,2.228,1665994.97
6,7,S6M7,3.642,1634039.28
6,8,S6M8,1.475,1698809.25
6,9,S6M9,3.300,1655952.32
6,10,S6M10,5.442,1737990.89
7,1,S7M1,2.822,1998878.93
7,2,S7M2,1.711,2039762.60
7,3,S7M3,1.468,2057918.78
7,4,S7M4,3.171,2031810.58
7,5,S7M5,3.235,1980771.11
7,6,S7M6,2.205,2029092.94
7,7,S7M7,2.133,2025703.73
7,8,S7M8,2.108,2022672.22
7,9,S7M9,2.420,2004924.71
7,10,S7M10,3.174,2121506.34
8,1,S8M1,1.800,2540527.88
8,2,S8M2,1.791,2542432.16
8,3,S8M3,0.174,2535402.19
8,4,S8M4,3.065,2520347.21
8,5,S8M5,3.288,2542558.05
8,6,S8M6,0.250,2521750.84
8,7,S8M7,2.045,2538121.43
8,8,S8M8,1.282,2515071.93
8,9,S8M9,2.265,2524493.47
8,10,S8M10,3.376,2546262.53
9,1,S9M1,2.172,3608343.74
9,2,S9M2,2.501,3470022.40
9,3,S9M3,1.014,3358492.78
9,4,S9M4,0.762,3417386.64
9,5,S9M5,1.466,3390958.87
9,6,S9M6,0.717,3607688.42
9,7,S9M7,2.321,3415142.45
9,8,S9M8,2.235,3545529.37
9,9,S9M9,1.352,3316638.46
9,10,S9M10,6.471,3633885.80
10,1,S10M1,1.561,9458039.30
10,2,S10M2,3.018,11763397.99
10,3,S10M3,1.616,7218244.01
10,4,S10M4,3.163,7620699.30
10,5,S10M5,3.379,7036562.91
10,6,S10M6,0.534,9443502.38
10,7,S10M7,0.946,8928262.41
10,8,S10M8,0.721,7221187.37
10,9,S10M9,2.439,7123215.54
10,10,S10M10,2.831,10670360.55
