size_quintile,bm_quintile,portfolio,mean_pct,std_pct,nw12_tstat,n_months
1,1,S1B1,1.8831299042181904,13.93046048263981,2.551544974439436,378
1,2,S1B2,1.7747838496667925,12.37145200788474,2.804054790314449,390
1,3,S1B3,1.870346991301796,11.962969779676524,2.8625483968077727,390
1,4,S1B4,2.537488224859859,13.364351056971389,3.819156566636142,402
1,5,S1B5,2.2129042825588026,13.44137377475919,3.2284825071195637,402
2,1,S2B1,1.0199512304867915,12.131465367097224,1.5885753877696875,378
2,2,S2B2,1.2620705328796695,12.302928857023039,2.0965162468043292,390
2,3,S2B3,1.4134094679910756,11.837037975403875,2.43827372792455,402
2,4,S2B4,1.6732148866788952,12.100197719219956,2.550285305341885,378
2,5,S2B5,1.6154293817980017,12.282716812340778,2.6358921891633127,390
3,1,S3B1,0.6884452708590452,13.163879461678881,1.2625878317578736,402
3,2,S3B2,1.1580236873379526,12.38918259560389,1.9829165111291527,402
3,3,S3B3,1.157695423494703,12.02464599478827,1.8809004915164742,390
3,4,S3B4,1.2545827176530657,11.301968647239791,2.093685901637754,390
3,5,S3B5,1.4849491150752414,11.911105233126767,2.370167882867265,390
4,1,S4B1,0.6296463161016168,13.220819138716983,1.1126325200294849,402
4,2,S4B2,0.4965366813184802,9.985560864977531,0.914303161980267,390
4,3,S4B3,0.6634437933372568,10.779872887125329,1.191535153717304,390
4,4,S4B4,0.8903435069492377,10.462077630497237,1.4883215966209702,390
4,5,S4B5,0.975410285324794,10.624896995654128,1.598365407563215,390
5,1,S5B1,0.4565538514405472,12.489766266131971,0.79983098287113,402
5,2,S5B2,0.5666505109167528,9.822743576788895,1.0443405032897324,402
5,3,S5B3,0.5221150935629687,10.548341242332999,1.0023035744098578,402
5,4,S5B4,0.702679764373601,10.513622937162673,1.22085743974252,402
5,5,S5B5,0.747852655956165,10.146943058586185,1.2548682967789033,390
