size_quintile,bm_quintile,avg_excess_return_pct,avg_n_stocks
1,1,1.8831299042181904,80.84825870646766
1,2,1.7747838496667925,74.00248756218906
1,3,1.870346991301796,73.14179104477611
1,4,2.537488224859859,67.24626865671642
1,5,2.2129042825588026,41.72636815920398
2,1,1.0199512304867915,53.03233830845771
2,2,1.2620705328796695,68.40298507462687
2,3,1.4134094679910756,76.60696517412936
2,4,1.6732148866788952,75.35820895522389
2,5,1.6154293817980017,61.850746268656714
3,1,0.6884452708590452,52.62686567164179
3,2,1.1580236873379526,64.2587064676617
3,3,1.157695423494703,67.08706467661692
3,4,1.2545827176530657,68.3681592039801
3,5,1.4849491150752414,65.83830845771145
4,1,0.6296463161016168,58.298507462686565
4,2,0.4965366813184802,58.15422885572139
4,3,0.6634437933372568,54.17661691542288
4,4,0.8903435069492377,55.66417910447761
4,5,0.975410285324794,67.73383084577114
5,1,0.4565538514405472,60.4452736318408
5,2,0.5666505109167528,42.39303482587065
5,3,0.5221150935629687,36.776119402985074
5,4,0.702679764373601,41.74875621890547
5,5,0.747852655956165,71.25124378109453
