row_factor,MKT_RF,SMB,HML
MKT_RF,1.0,0.33204424224544143,-0.23543747619765384
SMB,0.33204424224544143,1.0,-0.2242290359646423
HML,-0.23543747619765384,-0.2242290359646423,1.0
