portfolio,size_quintile,bm_quintile,alpha_pct,nw12_t_alpha,beta_mkt,nw12_t_mkt,beta_smb,nw12_t_smb,beta_hml,nw12_t_hml,r2,n_months
S1B1,1,1,0.2508881372378473,1.3673920188643918,1.0774099557092427,18.2965622435762,1.1223537379669515,13.02771627125746,-0.3422379205750742,-3.406912139232138,0.9469437218199211,378
S1B2,1,2,0.4620131982218466,2.8489580897318842,0.9249813379981224,24.939972990469062,1.012762831654851,9.296506062156476,-0.3319455077305766,-3.8164408240309875,0.9278051235709671,390
S1B3,1,3,0.4307615584120822,2.3481439275826723,0.8551283825679517,15.56494965376338,1.1232965749170516,20.524882653861138,0.08855117226163267,0.9928732327836468,0.9197307904620111,402
S1B4,1,4,0.9199438363510105,3.1258573001738372,0.8937056757384576,15.86190229862257,1.1323976146696328,18.39057007250992,0.2259732278997469,2.219151636225445,0.8810578584228109,402
S1B5,1,5,0.4660636986423966,2.0007223989290766,0.9145744331235925,23.77633749750983,1.1123714623160394,29.033021826620523,0.4416709459642575,9.563525297666317,0.915976509432666,402
S2B1,2,1,-0.1906033894749329,-1.5646756834997517,0.9402618314222511,35.94935205248515,0.8359399232190596,9.012478710599936,-0.47172708210872705,-4.624876717618739,0.9367257957904875,390
S2B2,2,2,0.415994759603403,1.9285327587005494,0.9281751882077873,26.74674934983427,0.777071303819703,7.32643482377871,-0.2803480200084859,-2.33468057276476,0.9049747552515928,402
S2B3,2,3,0.02767695085283111,0.15693171394608074,0.8328545725995666,11.586311490831633,0.8726355244667708,11.089698375388089,-0.011245807632957572,-0.11022539416549722,0.922455191699169,390
S2B4,2,4,0.019234918547861475,0.15229530742582367,0.9868358020201554,34.74954946602596,0.9737464641441155,15.964942295393648,0.16063609090645692,1.5681762647545636,0.9514816478331701,390
S2B5,2,5,0.14540645909247601,0.8423018456083355,0.9878949025744503,12.31244293937882,0.6883478172046068,3.909059450774152,0.5564832939971486,3.4626796696841344,0.8676938693987688,402
S3B1,3,1,-0.21285632844503607,-1.5386234611681007,0.9557547183809911,22.676858581502188,0.7045121838904589,6.882281032128556,-0.5519157358914026,-6.502298684378823,0.9374805981767723,402
S3B2,3,2,-0.17930885592162663,-1.1017065463170554,0.9290745352153901,29.055502553985555,0.6787777449978999,9.416127439224573,-0.36494897345895216,-4.842640266878833,0.939808999737391,390
S3B3,3,3,0.037465738466083275,0.21021370630704567,0.9778134849391675,21.13203032449988,0.6444999159663893,6.052546743925033,-0.16959266497710834,-1.648847053865577,0.9136626406350299,390
S3B4,3,4,0.03094856987759145,0.161475965470737,0.8923380675389985,18.84128743938498,0.5034936570418337,2.844611567703989,0.32921396750844356,2.2304482534377557,0.8351902424277566,402
S3B5,3,5,-0.16856307014157434,-1.3434706507779823,1.0441549700026118,65.30713182479604,0.7071036737870318,9.047114718706926,0.4850068821143863,5.590987369551549,0.938022191540155,390
S4B1,4,1,0.01635494999301197,0.08428289267771677,0.9827279664146054,8.438684994558603,0.19550748330997822,0.83367188302298,-0.3706233629980884,-1.7983092933418803,0.7952665458913475,402
S4B2,4,2,-0.09618011821949332,-0.5444982341280369,0.8266824613384559,9.310735082885317,0.4440888313077888,5.089478461807464,-0.2684871510650881,-2.586866557649266,0.8615707216325512,390
S4B3,4,3,0.010384123080437162,0.04202483772513424,0.895151000515063,8.347155315818956,0.6036064352167448,3.835693197528628,-0.44253617077380836,-1.7662057612193303,0.7971305297603078,402
S4B4,4,4,-0.17618820158549814,-1.0773000424280796,0.8984825933278369,11.335753811148363,0.48946079430710815,5.6535909143422325,0.18876938508056818,1.6630188657168892,0.8887620438911541,378
S4B5,4,5,-0.1614236108533352,-1.154742017779948,0.9486249705310588,16.876273560965288,0.41419703896044524,4.660970425627153,0.41427332827767505,7.433929598228389,0.8958156123066129,390
S5B1,5,1,0.17364213132124423,1.0112049094306355,1.0820665415255526,22.337603179103194,-0.10975842726164733,-1.7141895520637878,-0.7745707563987101,-7.786251348217113,0.9416204316972872,390
S5B2,5,2,0.24711200328463978,1.345607326896397,0.8806861211048348,14.984304835285682,-0.3652134353297821,-3.5426453964371096,-0.0761779681550207,-0.7491469487579441,0.8476508682380148,390
S5B3,5,3,0.20865392711545924,0.9325940377548443,0.9531267149510045,23.298905648478414,-0.34116848611253237,-3.2141717248523487,0.03223604841299538,0.3440194823445538,0.8520071645456027,402
S5B4,5,4,0.1859382495621101,0.824147655135067,1.0049872396084119,45.90638947809126,-0.20742478901388506,-2.4629454114005296,0.11003941077057891,1.0303307040422567,0.8893046874999933,390
S5B5,5,5,0.053693928961181886,0.3966222545058289,0.9885114063348183,28.99875506562858,-0.21829912794445924,-3.1463523725071547,0.6410052594794635,8.631538596458137,0.9255342110221313,390
