metric,value
n_portfolios,25
n_sig_10pct,5
n_sig_5pct,4
n_sig_1pct,2
mean_alpha_pct,0.11668214255928065
mean_abs_alpha_pct,0.21149202853060042
max_abs_alpha_pct,0.9199438363510105
rmse_pct,0.30646557808496927
mae_pct,0.22333558409137344
joint_test_note,GRS not implemented; diagnostics shown as FF1993 Table 9 analogue.
