portfolio,size_quintile,bm_quintile,alpha_pct,beta_mkt,beta_smb,beta_hml,nw12_t_alpha,nw12_t_mkt,nw12_t_smb,nw12_t_hml,r2,n_months
S1B1,1,1,0.22865460270756954,1.0672664044398013,1.097843275067399,-0.3332727141075378,1.32516493968048,16.892496422363678,12.471468452620675,-2.9333324857491103,0.941544125159407,378
S1B2,1,2,0.4829517821149305,0.915517745098743,1.018157028900685,-0.3495897211718935,2.873488664054139,23.121392261497267,10.968344409972076,-3.6590678901490294,0.9292753961357267,390
S1B3,1,3,0.3220442788414555,0.8826080921244888,1.1182592319001663,0.11964323056980536,1.76202600224939,16.618878831991896,14.91682859500076,1.248269933946305,0.9184445807459498,390
S1B4,1,4,0.8903883805430914,0.8895889814980289,1.1179513424561975,0.20538794939005223,3.0305782733678153,16.293345319720682,18.831510117980844,2.1772947334378796,0.88310091095502,402
S1B5,1,5,0.5262424406654139,0.9546984284621217,1.0521719777520733,0.33055205880998867,2.2169929579352994,23.03342917269825,25.213207296501686,5.282146524394695,0.9099110969879814,402
S2B1,2,1,-0.31853785276509444,0.9323502804659406,0.8969695746096746,-0.4304680730387863,-2.497177749045298,26.918146697338877,11.435078704147879,-4.08805705638487,0.9541227687081392,378
S2B2,2,2,0.06667742010416636,0.9729225384499417,0.8588553017340703,-0.35865491040071,0.611163753268479,57.71145545969317,10.939504495055282,-4.455830520099801,0.9523880734304617,390
S2B3,2,3,0.10382170131224443,0.828920023919403,0.8701012249238774,0.005600834946048128,0.47653857597558236,11.999492390800263,9.688611291998765,0.05687301055702053,0.9078279637251498,402
S2B4,2,4,-0.07254867839406139,0.9898014247249881,0.9914295454795786,0.22576247268694244,-0.5890324057098002,40.20975093115833,23.559923022360284,2.6376170985139527,0.9635688010286666,378
S2B5,2,5,0.005875493130532434,1.0136349947625425,0.9446291552564743,0.3997039419763499,0.04623408205548092,72.59087265190341,22.20569705530002,14.973409570047545,0.9588367977501115,390
S3B1,3,1,-0.27528412591545304,0.9443109989028677,0.6451685322103847,-0.5456659458578647,-2.0954462255792743,28.446226904072336,6.2557243561335305,-7.4642729488344814,0.9286931131497373,402
S3B2,3,2,0.08587469195436882,0.9217086163822044,0.6306957632329268,-0.21966394217406982,0.39433119359725793,30.713567448366856,8.573094459072047,-2.414556055138097,0.8978893641802596,402
S3B3,3,3,0.03244821153667913,0.9979489346215193,0.6402582917603982,-0.13754248431519306,0.16490603939444048,14.801413763702346,6.506971440681816,-1.3102239776450668,0.8980029457363135,390
S3B4,3,4,0.03487650814049169,0.947813889378346,0.6890550442027225,0.07187486779695029,0.20649412406077286,24.215653175122156,8.397331344662526,1.0380338926107118,0.9205594167832052,390
S3B5,3,5,-0.1504205335111522,0.9978263639153262,0.5139262812472721,0.7136429204848744,-1.0623548498797009,24.428595785197658,3.643388927442351,6.370773886345204,0.8887704098157485,390
S4B1,4,1,-0.17799731555481982,0.9792353053306794,0.46953254179380743,-0.61403449803954,-1.1897067310251175,25.35382516278959,5.907026663296928,-10.280265216708736,0.917903538824335,402
S4B2,4,2,-0.2830357375083316,0.832684414691173,0.39358911417425163,-0.22027077879020712,-1.3442919732587735,10.926192791940473,4.556513159978168,-1.8026601575866164,0.8699729345456206,390
S4B3,4,3,-0.19747210454441289,0.9308794936799284,0.37058545341966026,-0.135534804475756,-1.2353963942094581,16.136425579043195,4.257341849771653,-1.5920726105915342,0.8835802904315228,390
S4B4,4,4,-0.15212898219021917,0.9149843708711155,0.4163000426908125,0.2342425821013035,-0.9795905038780223,12.073085648800575,5.029186768515871,2.26872164243242,0.877315303024924,390
S4B5,4,5,-0.18991162652761273,0.9559796453804962,0.4083306917995873,0.47904148994849965,-1.7290869944850966,21.656622302292366,4.767513844215927,8.812094174078414,0.9150513313434255,390
S5B1,5,1,0.2964263477182853,1.0442498027861815,-0.375064903405277,-0.5297426577576844,1.2914115688887378,8.906870862978176,-2.1527122593612655,-2.927642754419789,0.8387391352731801,402
S5B2,5,2,0.3765587237008954,0.8829545158054027,-0.42140504198782064,-0.10206247038692062,1.990438656184789,16.61892546219198,-4.223879807899731,-1.129283079030778,0.8398116206042243,402
S5B3,5,3,0.13741788934498,0.9670740711733873,-0.2764688686447207,-0.07038768731356626,0.740885357478822,33.27319722087464,-5.635091325882532,-1.4430494864416403,0.8918715244985826,402
S5B4,5,4,0.25632737749653994,0.9695714281476289,-0.3387293133275489,0.2015385708638111,1.0887529699925083,21.672761376422603,-3.1720844960925607,1.4864400479631144,0.8497091483879513,402
S5B5,5,5,0.037445287346621836,0.9866689350061101,-0.24627589906935832,0.6252964817127228,0.24312705843221682,27.95376321469234,-3.176819510155645,7.529239684381687,0.9130472533828964,390
