portfolio,alpha_pct,nw12_t_alpha,abs_alpha_pct
S1B1,0.2508881372378473,1.3673920188643918,0.2508881372378473
S1B2,0.4620131982218466,2.8489580897318842,0.4620131982218466
S1B3,0.4307615584120822,2.3481439275826723,0.4307615584120822
S1B4,0.9199438363510105,3.1258573001738372,0.9199438363510105
S1B5,0.4660636986423966,2.0007223989290766,0.4660636986423966
S2B1,-0.1906033894749329,-1.5646756834997517,0.1906033894749329
S2B2,0.415994759603403,1.9285327587005494,0.415994759603403
S2B3,0.02767695085283111,0.15693171394608074,0.02767695085283111
S2B4,0.019234918547861475,0.15229530742582367,0.019234918547861475
S2B5,0.14540645909247601,0.8423018456083355,0.14540645909247601
S3B1,-0.21285632844503607,-1.5386234611681007,0.21285632844503607
S3B2,-0.17930885592162663,-1.1017065463170554,0.17930885592162663
S3B3,0.037465738466083275,0.21021370630704567,0.037465738466083275
S3B4,0.03094856987759145,0.161475965470737,0.03094856987759145
S3B5,-0.16856307014157434,-1.3434706507779823,0.16856307014157434
S4B1,0.01635494999301197,0.08428289267771677,0.01635494999301197
S4B2,-0.09618011821949332,-0.5444982341280369,0.09618011821949332
S4B3,0.010384123080437162,0.04202483772513424,0.010384123080437162
S4B4,-0.17618820158549814,-1.0773000424280796,0.17618820158549814
S4B5,-0.1614236108533352,-1.154742017779948,0.1614236108533352
S5B1,0.17364213132124423,1.0112049094306355,0.17364213132124423
S5B2,0.24711200328463978,1.345607326896397,0.24711200328463978
S5B3,0.20865392711545924,0.9325940377548443,0.20865392711545924
S5B4,0.1859382495621101,0.824147655135067,0.1859382495621101
S5B5,0.053693928961181886,0.3966222545058289,0.053693928961181886
