metric,value
n_portfolios,25
n_sig_10pct,9
n_sig_5pct,7
n_sig_1pct,3
mean_alpha_pct,0.052401209651886924
mean_abs_alpha_pct,0.19456691993883862
max_abs_alpha_pct,0.6446176248287168
joint_test_note,GRS not implemented; diagnostics shown as FF1993 Table 9 analogue.
