size_quintile,bm_quintile,portfolio,mean_pct,std_pct,nw12_tstat,n_months
1,1,S1B1,0.9804798735212363,8.696357576748529,1.5267161602803838,189
1,2,S1B2,1.4711156694035237,9.20596652917404,2.0633442251059684,189
1,3,S1B3,1.633657154188678,8.807437601811593,2.4631757897496906,189
1,4,S1B4,1.5809561277679942,8.74079676048926,2.713869097535503,189
1,5,S1B5,1.3325541936573861,8.310869567844534,2.2985327128771518,189
2,1,S2B1,0.4305902827747954,8.632694357560633,0.7184436228733289,189
2,2,S2B2,0.7933138599380709,8.62715865134226,1.3321485492177803,189
2,3,S2B3,1.0665794942848694,8.169579365042097,1.8114036385874288,189
2,4,S2B4,0.8775142466744464,8.174191266028574,1.5486140245741702,189
2,5,S2B5,0.9291523571037429,7.765235367431658,1.7380356112652546,189
3,1,S3B1,0.5024574090966264,8.615068630697404,0.8903055971464963,189
3,2,S3B2,0.5521144784915579,8.279543628646183,0.9543780351815178,189
3,3,S3B3,0.7553138744052398,8.298308369709789,1.3834656800924785,189
3,4,S3B4,0.5862311538986261,7.715667897708324,1.127756522104704,189
3,5,S3B5,0.6327142190257775,7.250560446073279,1.254284963031017,189
4,1,S4B1,0.3072826757378749,7.920724713285981,0.5828597928614138,189
4,2,S4B2,0.4232008192764496,7.647919052868711,0.8772891866405449,189
4,3,S4B3,0.34665554702069895,7.649693896781123,0.726376144952664,189
4,4,S4B4,0.32927397275169656,7.396940235688869,0.6701858081126719,189
4,5,S4B5,0.5268809488568081,7.259994708120804,0.941412739462327,189
5,1,S5B1,0.2849601813427582,7.103495167119887,0.6053490405312472,189
5,2,S5B2,0.3875489131280222,6.8843396272789406,0.8140704371000658,189
5,3,S5B3,0.1319674344377388,6.837947437911845,0.2764948074594462,189
5,4,S5B4,0.22353890147609035,6.9063174416911135,0.4391251581405935,189
5,5,S5B5,0.4556749893233932,5.514501153480596,1.1347310119993583,189
