size_quintile,bm_quintile,avg_excess_return_pct,avg_n_stocks
1,1,0.9804798735212363,122.51851851851852
1,2,1.4711156694035237,117.07407407407408
1,3,1.633657154188678,113.11640211640211
1,4,1.5809561277679942,102.82539682539682
1,5,1.3325541936573861,60.60846560846561
2,1,0.4305902827747954,82.56084656084656
2,2,0.7933138599380709,105.12698412698413
2,3,1.0665794942848694,119.1005291005291
2,4,0.8775142466744464,117.34920634920636
2,5,0.9291523571037429,94.37037037037037
3,1,0.5024574090966264,81.5925925925926
3,2,0.5521144784915579,101.5079365079365
3,3,0.7553138744052398,105.86243386243386
3,4,0.5862311538986261,107.65079365079364
3,5,0.6327142190257775,97.14814814814815
4,1,0.3072826757378749,90.70899470899471
4,2,0.4232008192764496,88.93650793650794
4,3,0.34665554702069895,83.28042328042328
4,4,0.32927397275169656,84.56084656084656
4,5,0.5268809488568081,104.22751322751323
5,1,0.2849601813427582,89.65608465608466
5,2,0.3875489131280222,57.74603174603175
5,3,0.1319674344377388,50.17460317460318
5,4,0.22353890147609035,60.08994708994709
5,5,0.4556749893233932,116.97883597883597
