size_quintile,bm_quintile,avg_excess_return_pct,n_months
1,1,4.59204141999702,66
1,2,2.324441270309983,78
1,3,2.3949292571061065,90
1,4,5.104450482744049,90
1,5,3.7362996589394153,90
2,1,0.9735669477117884,78
2,2,2.5740394221484055,90
2,3,1.228191623852317,78
2,4,2.202744382268154,78
2,5,2.8854405861300116,90
3,1,0.9112749470592927,90
3,2,0.7810045411072891,78
3,3,1.7024605990029893,78
3,4,1.820713427444344,90
3,5,1.7850081976295875,78
4,1,0.9396041638717375,90
4,2,0.2778633195306039,78
4,3,1.3102202887794887,90
4,4,2.05851696287699,66
4,5,0.8925656971364166,78
5,1,1.0188223966880972,78
5,2,0.9842361757536401,78
5,3,0.7672702857820112,90
5,4,1.4422626751924525,78
5,5,0.292639033911317,78
