portfolio,size_quintile,bm_quintile,alpha_pct,beta_mkt,beta_smb,beta_hml,nw12_t_alpha,nw12_t_mkt,nw12_t_smb,nw12_t_hml,r2,n_months
S1B1,1,1,1.231874837552805,1.1254356329526631,1.0110422812798552,-0.5859960741401331,2.2127093105762854,25.34102117494698,6.7084336104988544,-9.06075617114278,0.9757854513993623,66
S1B2,1,2,1.0705446337286393,0.973773520592693,0.42304729621878573,-0.3005459599243473,2.474777717825723,22.2023588812829,2.807132056482981,-4.091319295757481,0.9389685510971725,78
S1B3,1,3,-0.24638436544058745,0.8234202700194412,1.027690713692911,0.20496285980461726,-0.5009454611118169,11.210602773332495,8.324994430991689,1.4233951105508618,0.9139253278857343,90
S1B4,1,4,2.316077360927612,0.8654219469991885,1.0550090260479286,0.2769955055851989,2.5065958065602767,9.38451465275512,7.853158467467146,1.746288816852619,0.8638703466759718,90
S1B5,1,5,0.6079397487797965,0.8573767775386563,1.153978226474462,0.4881716799850368,1.0274265358684438,16.366369008208437,13.131785326647798,8.364551058620611,0.9160290822239664,90
S2B1,2,1,-0.17316462249628597,0.9167724028928234,0.5645112685534163,-0.5940149972470892,-0.466474437460505,41.582545189868014,6.760116096362263,-9.626205546336962,0.9650862240612499,78
S2B2,2,2,1.3422792300262305,0.9380654492936538,0.3913452069299244,-0.33017712828109613,1.7348350649074147,18.90794784516068,2.923664958746322,-2.9956774056231135,0.8963502572491384,90
S2B3,2,3,-0.24396505871415097,0.8015231516750025,0.3894867039024671,0.14975479756859733,-0.4688798287462075,32.30229752258673,3.979808391843814,1.9309632531472396,0.9418080454950948,78
S2B4,2,4,-0.2914971308020999,1.0117794662503972,0.803204968220708,0.34565293272600145,-0.6080568074443017,27.18296472785365,6.289296067956262,2.8057878710249184,0.9587400446737919,78
S2B5,2,5,1.171960379586149,1.1024474467428467,0.05498956965413848,0.6820429516005145,1.2381090602948124,8.272668134580076,0.17319029282809567,4.552306908864478,0.8687685172148252,90
S3B1,3,1,-0.21774296847257602,1.0014462658854264,0.42174586390630997,-0.5730981363467771,-0.4536468417979213,16.853407188085622,3.0271231214643546,-4.634627045642535,0.9524698680477449,90
S3B2,3,2,-0.23687545674901822,0.933233337173077,0.2796412050296446,-0.2741066043715872,-0.586962580536179,45.27368670103434,3.5539805543196623,-3.615424091637364,0.9616473053830332,78
S3B3,3,3,0.8413392796998425,1.0658774975151026,-0.09390154514849508,0.052655505818186676,2.1561211001607297,38.84456099629509,-0.6925264575363322,0.48430841085303233,0.9430443483084029,78
S3B4,3,4,0.708320550893586,0.9519195394468029,-0.12210556977620667,0.4887049126768218,0.7863846178099277,12.752430163191857,-0.5192895651965542,3.585720028254719,0.8569658113894085,90
S3B5,3,5,-0.5455049490775349,1.0770152475193282,0.529188595161535,0.5642987678983334,-1.8655382813336125,31.335988990018684,2.547867011152251,4.5617088042757015,0.9373976816311825,78
S4B1,4,1,1.0174106096557543,1.1612905715750503,-0.610121398356434,-0.17660126393255893,0.9671951461623227,6.853826329437786,-1.5667389029541574,-0.9185918554914946,0.8360823379737133,90
S4B2,4,2,-0.2694642177682167,0.7966899375475532,-0.0795322413791098,-0.047048032870855794,-0.46386020966930236,20.76520062017063,-0.4388265134002635,-0.48212656046600777,0.877816474595573,78
S4B3,4,3,-0.10951545715758709,0.7505211447786608,0.7909712117661719,-0.6697298597199028,-0.07772985160407685,3.9440156355165144,1.7358618022367749,-1.7054195672340697,0.7594379960901488,90
S4B4,4,4,-0.3709393124668316,0.8665632208084879,-0.06928043077360013,0.3910090792837813,-1.9124478662189468,29.16460389332679,-0.6790088101173466,6.261194931586044,0.9504655362818462,66
S4B5,4,5,-0.3488924251032307,0.9257054866906431,-0.04153062127555282,0.5015530629040359,-0.6971178423512197,31.723584232920963,-0.22670794920919216,6.425980324054455,0.9049316283113571,78
S5B1,5,1,0.9201426472523304,1.1466699038579402,-0.12005454917318259,-0.7873866252329276,1.694941897320284,30.262730868758606,-1.2107276632153823,-6.018527505240957,0.9626980262722432,78
S5B2,5,2,-0.05629451850460241,0.9287256770629884,-0.8083464129449712,0.1526748298781362,-0.11933438591616426,16.25738018215169,-7.738669062461185,3.2145922924258303,0.9065021640393077,78
S5B3,5,3,0.8716890691298912,0.9702726159445185,-0.6702848116009901,0.11068466894541285,0.8776620713827231,12.750739349340337,-3.202290664531128,1.2266751448221391,0.860358950512844,90
S5B4,5,4,1.2610557837041803,0.9779261212363146,-0.42922410401165284,-0.027475650857997747,1.5217819060559858,22.77106441347621,-2.703896811848137,-0.2962465705888365,0.884552113296888,78
S5B5,5,5,-0.5194125274506222,1.0269444207413876,-0.4032705719052337,0.5502254789384291,-1.040469837813106,32.18280022880906,-3.2024401607013804,7.20319697763186,0.932595414303787,78
