metric,value
n_portfolios,25
mean_alpha_pct,0.38923924482933886
mean_abs_alpha_pct,0.6796114856456065
max_abs_alpha_pct,2.316077360927612
n_sig_10pct,8
n_sig_5pct,4
n_sig_1pct,0
