row_factor,MKT_RF,SMB,HML
MKT_RF,1.0,0.5129992487958817,-0.32915589810201334
SMB,0.5129992487958817,1.0,-0.19784534227013742
HML,-0.32915589810201334,-0.19784534227013742,1.0
