factor,mean_monthly_pct,nw12_tstat,signif,n_months
MKT_RF,0.9321711111111115,0.7854377744686056,,90
SMB,1.649235219442859,2.796387815526217,***,90
HML,0.8725547398442094,0.953163145793622,,90
