factor,mean_monthly_pct,nw12_tstat,signif,n_months
MKT_RF,0.34559153439153434,0.8185818752373419,,189
SMB,0.5908392985581471,1.6778639480514144,*,189
HML,0.1563824261356983,0.5976474951768074,,189
