portfolio,n_months,avg_monthly_return_pct,std_monthly_pct,nw12_tstat_mean,avg_n_stocks
SL,189,0.8999614620950293,8.54759771584773,1.4615828790891863,349.37566137566137
SM,189,1.2857211458097748,8.353919955176746,2.158601985490588,517.4391534391534
SH,189,1.178340669053937,7.7421335800938245,2.146559393311301,305.9470899470899
BL,189,0.5439345732429729,7.24446050975101,1.1297095575511207,352.72486772486775
BM,189,0.4692505894858662,6.8330514720878615,1.0483880435774457,425.5820105820106
BH,189,0.5783202185554609,5.628656460451236,1.4125434939975425,403.7037037037037
