portfolio,size_quintile,bm_quintile,actual_avg_excess_pct,fitted_avg_excess_pct,pricing_error_pct,rmse_pct,mae_pct
S1B1,1,1,0.9804798735212363,1.0006020113553444,-0.020122137834108038,,
S1B2,1,2,1.4711156694035237,0.9796167221748555,0.49149894722866816,,
S1B3,1,3,1.633657154188678,0.989039529359961,0.644617624828717,,
S1B4,1,4,1.5809561277679942,0.9831227784205155,0.5978333493474786,,
S1B5,1,5,1.3325541936573861,1.0191404821737358,0.3134137114836504,,
S2B1,2,1,0.4305902827747954,0.7950333853025203,-0.36444310252772494,,
S2B2,2,2,0.7933138599380709,0.8209880156945858,-0.027674155756514905,,
S2B3,2,3,1.0665794942848694,0.8331077880772043,0.2334717062076651,,
S2B4,2,4,0.8775142466744464,0.8620192656777534,0.015494980996693004,,
S2B5,2,5,0.9291523571037429,0.9164624874857388,0.012689869618004099,,
S3B1,3,1,0.5024574090966264,0.6179536443624221,-0.11549623526579555,,
S3B2,3,2,0.5521144784915579,0.6618788562337151,-0.10976437774215722,,
S3B3,3,3,0.7553138744052398,0.6867100061243077,0.06860386828093212,,
S3B4,3,4,0.5862311538986261,0.7131637241770006,-0.12693257027837443,,
S3B5,3,5,0.6327142190257775,0.7658918821475779,-0.1331776631218003,,
S4B1,4,1,0.3072826757378749,0.37352305439335637,-0.06624037865548145,,
S4B2,4,2,0.4232008192764496,0.44401624698466285,-0.020815427708213274,,
S4B3,4,3,0.34665554702069895,0.5382810933620797,-0.19162554634138076,,
S4B4,4,4,0.32927397275169656,0.5510248513148255,-0.22175087856312886,,
S4B5,4,5,0.5268809488568081,0.6917712295813563,-0.16489028072454812,,
S5B1,5,1,0.2849601813427582,-0.03661271370972454,0.32157289505248277,,
S5B2,5,2,0.3875489131280222,0.13165788806399759,0.2558910250640246,,
S5B3,5,3,0.1319674344377388,0.25975972429915395,-0.1277922898614151,,
S5B4,5,4,0.22353890147609035,0.309885235682343,-0.08634633420625268,,
S5B5,5,5,0.4556749893233932,0.32366134754763953,0.13201364177575364,,
SUMMARY,,,,,,0.2602756309973841,0.19456691993883857
