form_year,Stkcd,size_june,size_dec_prev,book_equity,be_me,size2,bm3,leg_2x3,size5,bm5
1994,000008,201544.2,499554.0,135614275.78,271.4707034274573,1,2,SM,1,3
1994,000009,3385788.64,6742198.47,1544704115.8,229.109855290273,2,2,BM,5,2
1994,000011,2135726.01,4397262.58,1055103794.25,239.9455968467546,2,2,BM,5,3
1994,000012,1056414.68,2337269.1,799038247.5,341.86831439306667,2,3,BH,4,4
1994,000013,924532.85,2090172.76,578667528.81,276.8515310715273,2,2,BM,4,3
1994,000014,405920.48,855827.64,204427681.01,238.8654811499194,1,2,SM,2,3
1994,000015,499527.92,1577605.86,354505045.37,224.71078129108875,1,2,SM,2,2
1994,000016,1427572.1,2835763.16,559026312.53,197.13434479133298,2,1,BL,5,2
1994,000017,1107851.71,2489433.32,730213036.66,293.3250032421033,2,2,BM,4,4
1994,000018,394586.69,1036526.24,302165596.14,291.51755592796184,1,2,SM,2,4
1994,000019,309469.32,879285.84,215763691.54,245.3851543202379,1,2,SM,1,3
1994,000020,634042.2,1454567.4,309295983.0,212.63778013999215,2,2,BM,3,2
1994,000022,1163291.47,2190807.0,673680690.62,307.5034407960172,2,3,BH,4,4
1994,000023,324672.0,851200.0,193983186.42,227.89378103853383,1,2,SM,1,2
1994,000024,732800.0,1680000.0,522814061.79,311.19884630357143,2,3,BH,4,4
1994,000025,609845.76,1505520.0,434273466.38,288.4541330437324,2,2,BM,3,4
1994,000026,412620.0,646300.0,195684432.31,302.7764696116355,1,2,SM,2,4
1994,000027,1144000.0,2304000.0,778451954.48,337.8697719097222,2,3,BH,4,4
1994,000028,340000.0,697000.0,287189817.96,412.0370415494978,1,3,SH,1,5
1994,000029,2845881.5,5505325.0,1972514371.66,358.29208478336886,2,3,BH,5,5
1994,000030,850512.0,2016950.0,634975649.96,314.81972778700515,2,3,BH,4,4
1994,000031,772200.0,1760000.0,787530533.33,447.4605303011364,2,3,BH,4,5
1994,000032,426922.8,881990.0,233214009.71,264.4179749316886,1,2,SM,2,3
1994,000501,932668.39,2310664.95,828340407.87,358.48572847828933,2,3,BH,4,5
1994,000502,429941.61,1757889.34,302885651.76,172.30075003469784,1,1,SL,2,1
1994,000503,538200.0,1185000.0,338882495.98,285.9767898565401,1,2,SM,3,3
1994,000504,1002824.4,2579080.63,553600888.57,214.65047743389087,2,2,BM,4,2
1994,000505,1561779.12,2853518.0,531508282.38,186.26421223906772,2,1,BL,5,2
1994,000506,535967.86,1167454.74,374523114.48,320.8031126585687,1,3,SH,3,4
1994,000507,1179303.92,3237575.03,1176854229.36,363.4986736847918,2,3,BH,4,5
1994,000508,1365432.3,3001081.5,890409962.47,296.69636178490987,2,2,BM,5,4
1994,000509,449869.2,930567.0,278473891.6,299.2518449504442,1,2,SM,2,4
1994,000510,308368.08,634176.0,244626274.52,385.73877680643864,1,3,SH,1,5
1994,000511,330434.93,714402.0,297608593.98,416.5842116623414,1,3,SH,1,5
1994,000513,785440.95,1790180.0,546673377.05,305.37341331597935,2,3,BH,4,4
1994,000514,238853.16,546273.0,132335186.87,242.25101161873278,1,2,SM,1,3
1994,000515,365314.61,773530.94,157855055.89,204.07077173926618,1,2,SM,1,2
1994,000516,177182.45,466003.0,120033872.68,257.58175951656966,1,2,SM,1,3
1994,000517,281679.82,429332.49,138553962.0,322.7194895033451,1,3,SH,1,4
1994,000518,351377.76,683910.0,208366868.75,304.6700132327353,1,3,SH,1,4
1994,000519,234660.43,567200.5,126446132.78,222.93022093598296,1,2,SM,1,2
1994,000520,669242.53,1453470.75,370007812.55,254.56846142242628,2,2,BM,3,3
1994,000521,702586.5,1440000.0,375871773.41,261.02206486805557,2,2,BM,3,3
1994,000522,1526400.0,2174400.0,629449597.45,289.48197086552614,2,2,BM,5,4
