row_factor,MKT_RF,SMB,HML
MKT_RF,1.0,0.2208190834442931,-0.23771118005127465
SMB,0.2208190834442931,1.0,-0.4727772924337758
HML,-0.23771118005127465,-0.4727772924337758,1.0
