Trdmnt,SL,SM,SH,BL,BM,BH,N_SL,N_SM,N_SH,N_BL,N_BM,N_BH
1992-07,-0.08310578662548301,0.354497,0.182979,,0.03339327302139297,0.086705,3,1,1,0,3,1
1992-08,-0.2314103301973426,-0.279297,-0.080935,,-0.10707675787780516,-0.082447,3,1,1,0,3,1
1992-09,-0.18777112345656588,-0.098916,0.007828,,-0.042268317962243375,0.037681,3,1,1,0,3,1
1992-10,-0.33250357794745944,-0.254135,-0.165049,,-0.1603633387077949,-0.167598,3,1,1,0,3,1
1992-11,0.46437140085544376,0.350806,-0.05813999999999999,,0.050874122463679394,-0.020134,3,1,1,0,3,1
1992-12,0.07326941710607783,0.086566,0.180247,,0.10422100248157462,0.215753,3,1,1,0,3,1
1993-01,0.4091151131418684,0.413462,0.131799,,0.16279302055188805,0.078873,3,1,1,0,3,1
1993-02,0.15577311492369525,0.280855,0.297597,,0.11255823256628901,0.248042,3,1,1,0,3,1
1993-03,-0.3139752627577077,-0.10470600000000001,-0.13960100000000003,,-0.12155396160400796,-0.046025,3,1,1,0,3,1
1993-04,0.4808087663001366,0.439918,0.034768,,0.09255738271934844,0.095494,3,1,1,0,3,1
1993-05,-0.27146742061963147,-0.264647,-0.137874,,-0.14810511415498612,-0.119134,3,1,1,0,3,1
1993-06,0.018908139394601828,0.080451,-0.090909,,-0.061437730490858024,-0.11885200000000001,3,1,1,0,3,1
1993-07,-0.042399281226947645,,,,-0.08209,0.014706000000000002,2,0,0,0,1,1
1993-08,0.040210083705937406,,,,-0.038618,0.12318799999999999,2,0,0,0,1,1
1993-09,0.24382042941111784,,,,-0.044397,-0.070968,2,0,0,0,1,1
1993-10,0.17743496218163504,,,,-0.033186,-0.041667,2,0,0,0,1,1
1993-11,0.13156031717472322,,,,0.016018,0.181159,2,0,0,0,1,1
1993-12,-0.00017050312160067226,,,,0.006757000000000001,0.0,2,0,0,0,1,1
1994-01,-0.17566880309479693,,,,-0.192394,-0.205521,2,0,0,0,1,1
1994-02,0.07918838311895234,,,,0.00554,0.057915,2,0,0,0,1,1
1994-03,-0.03131658199277929,,,,-0.170799,-0.178832,2,0,0,0,1,1
1994-04,-0.16009195911057578,,,,0.062458,-0.084444,2,0,0,0,1,1
1994-05,-0.0727956182263181,,,,-0.086929,-0.067961,2,0,0,0,1,1
1994-06,-0.18753627338220272,,,,-0.079452,-0.074538,2,0,0,0,1,1
1994-07,-0.22316070848303027,-0.11656529072998909,-0.175532,,-0.14452783652974108,-0.17027721481796212,4,2,1,0,4,2
1994-08,0.8823207365593719,0.6906189960177483,0.8,,0.5601444757782514,0.5922560538002054,4,2,1,0,4,2
1994-09,0.34553712645244905,0.0708222671523855,0.23655899999999996,,0.15621572030107658,0.043625733790276885,4,2,1,0,4,2
1994-10,-0.18250762510451826,-0.10383940857514498,-0.217391,,-0.22506162914151645,-0.23775915242726972,4,2,1,0,4,2
1994-11,-0.026469716891477712,0.00536305507967157,-0.0037039999999999994,,-0.0007433164705330507,-0.02824732961277371,4,2,1,0,4,2
1994-12,0.017414078762532474,-0.10024604582454319,-0.046468,,-0.06076617532361364,-0.05466920152948305,4,2,1,0,4,2
1995-01,-0.18467247624273098,-0.15802539439289437,-0.118908,,-0.04362830828348764,-0.0894734028052262,4,2,1,0,4,2
1995-02,0.01753987755311356,-0.0061288686244727565,0.015487,,0.012310144653955477,-0.005526247766255901,4,2,1,0,4,2
1995-03,0.1417518409543237,0.1400394080064659,0.089325,,0.030380554363187286,0.03702918857453223,4,2,1,0,4,2
1995-04,-0.11173542247110504,-0.14384788595762513,-0.136,,-0.0824618701602206,-0.11632564478239839,4,2,1,0,4,2
1995-05,0.15085719205815157,0.044918112301233916,0.092593,,0.03361962847963515,0.003846248112444305,4,2,1,0,4,2
1995-06,-0.07646474411628826,-0.06811527051244957,-0.067797,,-0.0727297881506084,-0.08205937832427329,4,2,1,0,4,2
1995-07,0.05568416741356092,0.03767226466292212,0.07631357983680456,0.0635055962981725,0.07262059715087618,0.08597916063667216,44,65,34,42,49,51
1995-08,0.002948737984065895,0.019143739534173806,0.08394317758059944,-0.030370186317703985,0.07045062000792154,0.1195852201921962,44,65,34,42,49,51
1995-09,-0.026374231007722303,-0.008944372520869555,0.01330296693990956,-0.05201042304069578,0.008056665644995081,0.042404206023824026,44,65,34,42,49,50
1995-10,0.028272370693206636,0.011517907039007642,0.0022148743961161047,-0.011518668843618185,-0.0025349342119685265,0.02870261924947335,44,65,34,42,49,50
1995-11,-0.055567023304699585,-0.06608119990153802,-0.08915353761770681,-0.0355626622000797,-0.09789214655744935,-0.10544334166257369,44,65,34,42,49,51
1995-12,-0.12385377512669983,-0.10642722046805995,-0.1040652566433512,-0.13016398646725766,-0.1171324189118723,-0.1083053775556445,44,65,34,42,49,51
1996-01,-0.057369971139485984,-0.028400537190740396,-0.016402294232930718,-0.07786110866632613,-0.044045224971437466,-0.0028453413831598965,44,65,34,42,49,51
1996-02,0.03178976703480187,0.02424012000504248,0.007474695781145847,0.04236606335308435,0.020833843839467625,0.041781546896409436,44,65,34,42,49,51
1996-03,0.0015391135006656517,0.0035969737338875972,-0.006926756306342361,-0.0034967475292489174,0.0009710402982156653,0.010947637133774116,44,65,34,42,49,51
1996-04,0.292745723944166,0.3466719142917378,0.3269926347796478,0.22659979106885653,0.32695249671137855,0.33490596495734104,44,65,34,42,49,51
1996-05,-0.11668294752905888,-0.10149315667966233,-0.01579132956702847,-0.10208957413343887,-0.06082454927961746,0.10050225655442512,44,65,34,42,49,51
