row_factor,MKT_RF,SMB,HML_EP
MKT_RF,1.0,0.09814437372009906,-0.1787494925476964
SMB,0.09814437372009906,1.0,-0.5718683727022545
HML_EP,-0.1787494925476964,-0.5718683727022545,1.0
