form_year,Stkcd,size_june,size_dec_prev,earnings,ep,size2,ep3,leg_2x3,size5,ep5
1995,000043,819000.0,819000.0,58126814.04,70.97291091575092,2,2,BM,3,4
1995,000045,610584.0,765700.0,33948486.1,44.336536633146146,1,2,SM,2,2
1995,000046,490370.4,560404.0,31497709.55,56.2053617568754,1,2,SM,2,3
1995,000047,654500.0,637000.0,43341669.7,68.04029780219781,1,2,SM,3,4
1995,000048,583740.0,744372.0,29960655.35,40.24957326444305,1,2,SM,2,2
1995,000501,967958.55,975520.73,136516058.16,139.9417295417187,2,3,BH,4,5
1995,000504,788281.97,1065500.93,56345629.04,52.881820609954794,2,2,BM,3,3
1995,000505,1135839.36,1628593.2,169316126.39,103.96465267692386,2,3,BH,4,5
1995,000506,558339.87,663089.83,34454016.33,51.95980208292442,1,2,SM,2,3
1995,000507,838343.73,1245440.69,92564609.42,74.32277599666348,2,3,BH,3,4
1995,000508,1076085.0,1476388.62,72962676.53,49.41969583184677,2,2,BM,4,3
1995,000509,386029.29,508619.67,35518636.55,69.83339152022964,1,2,SM,1,4
1995,000510,406031.18,410153.33,41791938.38,101.89345135878818,1,3,SH,1,5
1995,000511,336608.13,415619.04,20566336.94,49.483625533613676,1,2,SM,1,3
1995,000513,497007.55,606935.95,101107544.84,166.5868446909431,1,3,SH,2,5
1995,000514,350820.29,391508.21,14827457.11,37.87265945202017,1,2,SM,1,2
1995,000515,469318.77,416016.64,11460731.99,27.548734565040476,1,1,SL,1,1
1995,000516,355580.55,395596.03,8610658.72,21.766292042920654,1,1,SL,1,1
1995,000517,333050.08,392125.8,13891332.57,35.42570412352362,1,1,SL,1,2
1995,000518,333140.16,414601.44,18417131.91,44.42129267568391,1,2,SM,1,2
1995,000519,244258.9,313239.38,8258657.61,26.365323574577374,1,1,SL,1,1
1995,000520,813943.62,809602.59,102406375.85,126.48968409303137,2,3,BH,3,5
1995,000521,916621.2,994831.2,109228346.67,109.7958595086282,2,3,BH,4,5
1995,000522,816751.32,1238400.0,86174741.07,69.58554672965116,2,2,BM,3,4
1995,000523,522988.92,614847.91,54182233.76,88.12298599177151,1,3,SH,2,5
1995,000524,641479.32,621185.61,55528969.08,89.39191150934742,1,3,SH,3,5
1995,000525,257489.94,268006.66,2797329.87,10.437538641763606,1,1,SL,1,1
1995,000526,399853.71,479104.0,5678450.79,11.852229975120224,1,1,SL,1,1
1995,000527,828828.0,1058349.6,120954447.13,114.28590999609202,2,3,BH,3,5
1995,000528,762106.17,932072.29,37623352.0,40.365272526232914,2,2,BM,3,2
1995,000529,1034607.13,1176699.46,143770371.78,122.18104678997643,2,3,BH,4,5
1995,000530,542342.25,453157.08,40302304.19,88.93671966903837,1,3,SH,2,5
1995,000531,594583.58,559065.6,38500435.06,68.8656842059322,1,2,SM,2,4
1995,000532,670464.05,880120.57,68899951.57,78.28467362147893,1,3,SH,3,4
1995,000533,1329820.8,1790364.8,150981628.0,84.33009183379833,2,3,BH,5,4
1995,000534,485369.38,647058.08,38306761.87,59.20142728145826,1,2,SM,2,3
1995,000535,746717.28,1020911.88,52955275.0,51.87056399030247,2,2,BM,3,3
1995,000536,548672.37,555988.0,31301812.98,56.29943987999741,1,2,SM,2,3
1995,000537,409773.81,507733.21,29368649.84,57.8426804896217,1,2,SM,1,3
1995,000538,507760.0,442640.0,23804270.43,53.777946932044095,1,2,SM,2,3
1995,000539,2797754.0,3523000.5,370287073.0,105.10559762906648,2,3,BH,5,5
1995,000540,403931.55,410353.36,20220777.0,49.276499161600626,1,2,SM,1,3
1995,000541,1203833.24,1171440.6,145745912.31,124.41596467631392,2,3,BH,4,5
1995,000542,728376.0,808832.0,90214463.55,111.53671411368491,1,3,SH,3,5
1995,000543,2175600.0,2436450.0,239363323.11,98.24265760019702,2,3,BH,5,5
1995,000544,537285.0,731850.0,44368420.73,60.62501978547516,1,2,SM,2,3
1995,000545,379780.3,410911.2,23498076.06,57.18528981444165,1,2,SM,1,3
1995,000546,411893.55,471527.97,30710559.66,65.12987906104489,1,2,SM,1,4
1995,000547,415116.0,356999.76,16689284.85,46.74872848654016,1,2,SM,1,3
1995,000548,571987.05,800338.47,44873046.2,56.0675862551003,1,2,SM,2,3
1995,000549,247520.0,276692.0,10916354.41,39.453090114640105,1,2,SM,1,2
1995,000550,1277266.44,1609563.4,117235421.12,72.83678363958823,2,2,BM,4,4
1995,000551,325620.0,392850.0,32508056.05,82.74928356879217,1,3,SH,1,4
1995,000552,393470.0,428505.0,20109245.68,46.928847224653154,1,2,SM,1,3
1995,000553,454812.12,413776.44,34196261.0,82.64429216897898,1,3,SH,1,4
1995,000554,725005.8,734333.36,76739076.76,104.50168947792322,1,3,SH,3,5
1995,000555,345907.92,383846.21,12651479.0,32.9597601080912,1,1,SL,1,2
1995,000556,501600.0,602400.0,42043027.87,69.79254294488712,1,2,SM,2,4
1995,000557,453620.0,373700.0,21812956.34,58.3702337168852,1,2,SM,1,3
1995,000558,419680.0,430000.0,29482814.08,68.56468390697674,1,2,SM,1,4
1995,000559,521569.25,549360.0,40519771.48,73.75813943497887,1,3,SH,2,4
1995,000560,385200.0,474000.0,29779845.53,62.826678333333334,1,2,SM,1,4
1995,000561,670918.39,684802.05,88698201.0,129.52385437514388,1,3,SH,3,5
1995,000562,910000.0,1051750.0,53310927.57,50.68783225101022,2,2,BM,4,3
1995,000563,888444.54,859563.21,71942718.74,83.69683334864925,2,3,BH,3,4
1995,000564,354585.16,418092.95,34503172.68,82.52512432941047,1,3,SH,1,4
1995,000565,326690.8,360486.4,18301121.84,50.76785654049639,1,2,SM,1,3
1995,000566,591375.0,763800.0,63824195.5,83.56139761717728,1,3,SH,2,4
1995,000567,394800.0,494760.0,31355392.21,63.37495393726251,1,2,SM,1,4
1995,000568,1184782.56,1033872.0,104595220.79,101.16844327924541,2,3,BH,4,5
1995,000569,1717829.42,1903875.92,171650175.09,90.15827832414625,2,3,BH,5,5
1995,000570,964800.0,700800.0,38754103.42,55.299805108447494,2,2,BM,4,3
1995,000571,665280.0,697760.0,55833625.64,80.0183811625774,1,3,SH,3,4
1995,000572,1026882.88,1356260.41,69058560.88,50.918363738126075,2,2,BM,4,3
1995,000573,959817.6,987840.0,101932838.28,103.18759948979591,2,3,BH,4,5
1995,000576,687292.29,791802.0,58978783.57,74.48678276892456,1,3,SH,3,4
1995,600600,1991340.0,2256852.0,165757000.0,73.44610989112267,2,3,BH,5,4
1995,600601,648000.0,691200.0,27114000.0,39.22743055555556,1,2,SM,3,2
1995,600602,921667.55,874965.22,91120840.0,104.14224236250213,2,3,BH,4,5
1995,600603,716800.0,727040.0,21459700.0,29.516532790492956,1,1,SL,3,2
1995,600604,1092536.21,1265437.59,89158610.0,70.456742161421,2,2,BM,4,4
1995,600605,926596.4,1173572.0,22675500.0,19.321780001567863,2,1,BL,4,1
1995,600606,575598.84,654447.99,13955270.0,21.323726580625603,1,1,SL,2,1
1995,600607,732301.34,887433.6,32730000.0,36.8816326089073,1,1,SL,3,2
1995,600608,363684.31,448462.07,12178000.0,27.155027848843492,1,1,SL,1,1
1995,600609,1671515.44,1827005.24,2447000.0,1.3393502910807196,2,1,BL,5,1
1995,600610,945731.85,1094377.63,31052610.0,28.374675385131916,2,1,BL,4,1
1995,600611,1509851.2,1969861.2,82252600.0,41.755530795773836,2,2,BM,5,2
1995,600612,577907.0,528058.3,38623000.0,73.14154516650908,1,3,SH,2,4
1995,600613,813721.13,753196.42,29529000.0,39.20491284331914,2,2,BM,3,2
1995,600614,482680.87,520970.46,8259835.63,15.854710130781694,1,1,SL,2,1
1995,600615,681321.27,742952.57,27986800.0,37.66969942643849,1,2,SM,3,2
1995,600616,672932.32,714664.56,17353530.0,24.28206318220117,1,1,SL,3,1
1995,600617,1305388.26,1211365.32,42422600.0,35.02048415914697,2,1,BL,5,2
1995,600618,5750193.19,6990430.93,200686000.0,28.70867361534749,2,1,BL,5,2
1995,600619,1663307.67,1510898.76,69556000.0,46.03617518357087,2,2,BM,5,3
1995,600620,846078.38,699970.29,21287190.0,30.411562182160615,2,1,BL,3,2
1995,600621,983305.65,858911.56,23845670.0,27.762660453656018,2,1,BL,4,1
1995,600622,1545198.84,1606699.29,51757990.0,32.21386249570074,2,1,BL,5,2
1995,600623,4888890.41,6281519.04,109755670.0,17.4727911037264,2,1,BL,5,1
1995,600624,772064.88,614008.98,26808900.0,43.66206500758344,2,2,BM,3,2
1995,600625,1021549.9,1321465.0,56943730.0,43.09136450832977,2,2,BM,4,2
1995,600626,1281527.52,1341942.39,41208150.0,30.7078383595886,2,1,BL,4,2
1995,600627,1978628.13,2372281.9,53743000.0,22.654558886951843,2,1,BL,5,1
1995,600628,1023652.11,912291.4,22199680.0,24.333979252681765,2,1,BL,4,1
1995,600629,395975.56,418120.67,12585500.0,30.100162233070183,1,1,SL,1,2
1995,600630,1277197.21,1441633.54,21782290.0,15.109450075641275,2,1,BL,4,1
1995,600631,2110055.83,2150893.06,96181020.0,44.71678382745816,2,2,BM,5,2
1995,600632,1552096.67,1889355.44,41818780.0,22.13388709961319,2,1,BL,5,1
