factor,mean_monthly_pct,nw12_tstat,signif,n_months
MKT_RF,0.6741017412935331,1.3374168359799707,,402
SMB,0.7949160313388772,3.410627675687632,***,366
HML_EP,0.44402841424259964,1.8022199893713162,*,366
