Trdmnt,RF,RM,MKT_RF,SMB,HML,SL,SM,SH,BL,BM,BH,N_SL,N_SM,N_SH,N_BL,N_BM,N_BH
1993-08,0.008719,0.047176,0.038457000000000005,-0.008207262519243877,-0.08763155133425073,0.11020204072169086,0.050907542944857234,0.010533737612700302,0.07381410755259374,0.12423169329130347,-0.001780692006917173,5,13,6,10,5,8
1993-09,0.008719,-0.026604,-0.035323,0.060902102103679225,0.0725667901410033,-0.02736872230957822,-0.0071699466605268545,0.07871433256054206,-0.05153020865474888,-0.07452075082298927,-0.012479683242862557,5,13,6,10,5,8
1993-10,0.008719,-0.084586,-0.093305,0.0500655168818635,-0.007196339908759092,-0.03354295589133524,-0.03189585780698935,-0.00778585252248006,-0.050895571026487355,-0.08148029162704709,-0.09104535421286072,5,13,6,10,5,8
1993-11,0.008719,0.167208,0.158489,0.1301920901722945,0.12422780810242338,0.12071697469526442,0.1973809876082527,0.3325101964018041,0.04740555922287636,0.12855837524437805,0.08406795372118343,5,13,6,10,5,8
1993-12,0.008719,-0.134264,-0.142983,-0.00046920287119542325,-0.14328843167194572,-0.037622746724812826,-0.13022994325471848,-0.11830366883317564,-0.01409341548785354,-0.05066597798788501,-0.21998935672338216,5,13,6,10,5,8
1994-01,0.008719,-0.101872,-0.11059100000000001,0.08541114145436339,0.04354985457611134,-0.12801508506501297,-0.09537974982992911,-0.0857007720030093,-0.19556301517239466,-0.21898839700647113,-0.15077761908217566,5,13,6,10,5,8
1994-02,0.008719,0.007581,-0.0011379999999999993,-0.012546939799366382,-0.038537778473066706,0.030913136866248872,-0.0007988195625321631,-0.017886165774208027,0.000784562063475975,0.07657610110633238,-0.027491692242200532,5,13,6,10,5,8
1994-03,0.008719,-0.100372,-0.10909100000000001,0.11509149486665479,0.11116203149589551,-0.1480950582681591,-0.05250847667839938,0.03736140930273155,-0.17381583715696394,-0.19775253135076373,-0.1369482417360636,5,13,6,10,5,8
1994-04,0.008719,-0.159827,-0.168546,-0.01704484205669063,-0.00911671018565402,-0.14694405689663667,-0.1382627137223031,-0.15439924796874205,-0.11957594236416134,-0.1385413783900846,-0.130354171663364,5,13,6,10,5,8
1994-05,0.008719,-0.062648,-0.071367,0.0016942043647580896,-0.013271409515479476,-0.08077009248787625,-0.07668108515545265,-0.022073050530648484,-0.026609224795795552,-0.04614853068847384,-0.11184908578398227,5,13,6,10,5,8
1994-06,0.008719,-0.166252,-0.17497100000000002,-0.014374636894828624,-0.028753062920784722,-0.15062990694710823,-0.15617507081652182,-0.19762170696212428,-0.12844218032277718,-0.19390408756916075,-0.1389565061493306,5,13,6,10,5,8
1994-07,0.008719,-0.277964,-0.28668299999999997,-0.05380114001959957,0.05970927374385904,-0.3555596731409327,-0.28086161341047133,-0.2813004374231419,-0.29422119038513084,-0.2130352349154127,-0.24906187861520362,27,37,15,21,26,32
1994-08,0.008719,1.199601,1.190882,0.2142479958190191,-0.30020823182395384,1.5709883421004016,1.1464786915295928,1.265696465170074,1.3687751936973707,0.8979937106658495,1.0736506069797906,27,37,15,21,26,32
1994-09,0.008719,0.059006,0.050287000000000005,0.041322803694257795,0.02699657187222202,0.06472530101866063,0.1577505061048827,0.11538463123952543,0.03944135194282303,0.1316755098710701,0.04277516546640227,27,37,15,21,26,32
1994-10,0.008719,-0.190591,-0.19931000000000001,0.03488910066374282,0.01317084287886372,-0.16861319937571304,-0.16813940164426394,-0.15772198758886394,-0.2048802599557578,-0.20483184465943222,-0.18942978598487942,27,37,15,21,26,32
1994-11,0.008719,0.039206,0.030487,-0.028179283831698727,-0.04142843537100525,0.05365449087221858,0.015789156801117605,-0.018965480242086264,0.050973834655062125,0.043305249243927486,0.04073693502735649,27,37,15,21,26,32
1994-12,0.008719,-0.054724,-0.063443,0.002074150729905827,-0.007572567523533094,-0.04799840921125462,-0.04947661900091901,-0.06155905632102253,-0.05287261459812598,-0.0579268195893634,-0.054457102535424254,27,37,15,21,26,32
1995-01,0.008719,-0.125162,-0.133881,-0.00629412866558432,0.003172976698879143,-0.14379201211769252,-0.12832251504621367,-0.1377925946701254,-0.12021297976028555,-0.1509453122668986,-0.11986644381009444,27,37,15,21,26,32
1995-02,0.008719,-0.016772,-0.025491,-0.001080521047780541,0.025294355216064393,-0.044179564719157745,-0.017918952677471463,0.003175142447532517,-0.022303095434203005,-0.014309624202787578,-0.019069092168764488,27,37,15,21,26,32
1995-03,0.008719,0.152571,0.143852,0.012829905791101631,-0.08137507908846904,0.18671969921108322,0.15886011825023594,0.13088601191314433,0.21217487838960603,0.1205428261009457,0.10525840751060683,27,37,15,21,26,32
1995-04,0.008719,-0.100792,-0.10951100000000001,0.005703651073134669,-0.0019138033800809306,-0.09565334548420494,-0.09323806137160574,-0.11791653438442061,-0.1058013115560574,-0.1307518534875743,-0.08736572941600357,27,37,15,21,26,32
1995-05,0.008719,0.18584,0.177121,0.04309423203880455,-0.088068371987957,0.26020054345512034,0.17411459611136693,0.16070183112565167,0.2075503186915893,0.12727166883899202,0.13091228704514393,27,37,15,21,26,32
1995-06,0.008719,-0.091822,-0.100541,0.003924816749008436,0.023728453793306375,-0.09018348430942014,-0.08045991583324034,-0.08329811387767709,-0.10727033785453498,-0.09174682571316262,-0.0666988006996653,27,37,15,21,26,32
1995-07,0.008719,0.085736,0.077017,-0.019514061430194088,0.06085684368873278,0.04212705571108236,0.024067861172120692,0.10846043888349316,0.0498437924611617,0.0781296509299003,0.10522409666621646,36,60,48,51,55,38
1995-08,0.008719,0.046407,0.037688,-0.03429113980829844,0.14998798245993927,-0.03142540604292132,0.026122354045404,0.09004326134943452,-0.029430212576348168,0.06796675640198613,0.14907708495117455,36,60,48,51,55,38
1995-09,0.008719,-0.004147,-0.012865999999999999,-0.013514485655267604,0.08002717600757145,-0.045601853029554655,0.0014289494409271933,0.015470394937018501,-0.0492664083832778,0.011391661032179716,0.04971569566529194,36,60,48,51,55,37
1995-10,0.008719,0.004456,-0.004262999999999999,0.004151185616028553,0.052034619577350644,-0.001902431287374997,0.004709509246856923,0.032588159634707334,-0.028584961668147554,0.01053295584977975,0.04099368656447141,36,60,48,51,55,37
1995-11,0.008719,-0.093218,-0.101937,0.015570013991614035,-0.08038270215602811,-0.03544540247311587,-0.05273290319472615,-0.11129890910659226,-0.032912507116910725,-0.09545034483687516,-0.11782440479549051,36,60,48,51,55,38
1995-12,0.008719,-0.12401,-0.13272899999999999,0.0057656416663214305,0.014194605256901721,-0.12949708504954363,-0.09534719599995899,-0.11191343867623103,-0.12512727105976137,-0.11460566674566601,-0.11432170691927052,36,60,48,51,55,38
1996-01,0.008719,-0.037488,-0.046207,0.001208144112860965,0.07868643490533597,-0.06799446726367739,-0.03792153040787408,-0.0026636555500261314,-0.08235311757079383,-0.039539908515593525,0.009688940526226866,36,60,48,51,55,38
1996-02,0.008719,0.029781,0.021061999999999997,-0.011912659038073776,-0.03630205895760212,0.04749747680735307,0.02229802591278271,0.00020530657243948713,0.053153115810174956,0.02474450246673734,0.027841168129884294,36,60,48,51,55,38
1996-03,0.008719,0.006676,-0.0020429999999999997,-0.0025685093688293716,0.003456864119075044,0.002546930814989972,-0.003886877550837341,0.004059802963519392,0.003071785856384047,-0.0011190434682286244,0.008472641946004715,36,60,48,51,55,38
1996-04,0.008719,0.294034,0.28531500000000004,0.025795004096015206,0.026338366277534497,0.2880765816032533,0.37512286293374114,0.30652800563031884,0.25223788544315007,0.353641358464964,0.2864631939711535,36,60,48,51,55,38
1996-05,0.007346,-0.03048,-0.037826,-0.08088113049028609,0.09372833090378759,-0.11893212292975751,-0.0677264938315038,-0.07896605966295825,-0.07325183728008963,-0.023968208933957975,0.07423876126068629,36,60,48,51,55,38
1996-06,0.007346,0.240369,0.233023,-0.16004727855481643,0.07000839222619915,0.06162854793331255,0.17480987073846854,0.12346460230144257,0.21814661689268794,0.32557089276802886,0.29632734697695623,36,60,48,51,55,38
1996-07,0.007346,0.123955,0.11660899999999999,0.1444968746043807,0.27947220981477977,0.04781275701267659,0.20967925054660647,0.4805352764939648,0.03742216157872604,0.10347043693438239,0.16364406172699741,47,65,42,46,58,50
1996-08,0.006022,-0.002064,-0.008086,-0.04042860553009005,0.03948223091874086,-0.05558253426036856,-0.045770602055204695,-0.01654531486549288,-0.01490535606889806,-0.0067291648956059056,0.025021886373707974,47,65,42,46,58,50
1996-09,0.006022,0.063073,0.057051000000000004,-0.02492742413019474,0.009421244238628605,0.01532813690002862,0.03550020091004267,0.06789765306780016,0.08857261105818726,0.05009006884259547,0.05484558336767294,46,65,42,46,58,50
1996-10,0.006022,0.201707,0.195685,0.19301983214206037,0.28917403548187226,0.19540562237188916,0.36219686739358803,0.537013781045732,0.08508492710158908,0.1086470078919483,0.32182483939149076,47,65,42,46,58,50
1996-11,0.006022,0.078422,0.0724,0.060517034773626285,0.048369673968364474,0.08418531311372776,0.11764405772254515,0.15737430641973063,0.05263327397143809,0.04883567036152245,0.07618362860216417,47,65,42,46,58,50
1996-12,0.006022,-0.172235,-0.178257,-0.0815004358983358,-0.07915267530837825,-0.18714144054445708,-0.23896342739736962,-0.3053144668264287,-0.14755329443712628,-0.1516791138642106,-0.18768561877191112,47,65,42,46,58,50
1997-01,0.006022,0.068688,0.062666,0.046522178798148336,0.05893678978814433,0.0962927863602982,0.10335092901655953,0.14217117037539176,0.022170718385334375,0.08591171702594064,0.09416591394652948,47,65,42,46,58,50
1997-02,0.006022,0.057548,0.051526,0.0315331568620735,-0.041147868487707656,0.12501929458595018,0.0990282898727134,0.06671148118193054,0.07871825204834365,0.062711014529082,0.054730328476947976,47,65,42,46,58,50
1997-03,0.006022,0.192075,0.186053,0.01551390168492564,-0.036491929494231884,0.2573033557190334,0.18443654103762988,0.18472386059100815,0.17493788770001248,0.23045064075330804,0.174533523839574,47,65,42,46,58,49
1997-04,0.006022,0.098318,0.092296,-0.06267753996020096,-0.07563684251789471,0.10919469573910873,0.07169961288256703,0.03297336230072679,0.1440050316743836,0.18894257905164577,0.06895268007697614,47,65,42,46,58,49
1997-05,0.006022,-0.084362,-0.090384,-0.051797039779572854,0.030541117154393088,-0.1338016103778898,-0.11254281047109735,-0.11194008442899307,-0.07948219538732729,-0.08314970352449655,-0.040261487027437835,47,65,42,46,58,49
1997-06,0.006022,0.000913,-0.005109,-0.006299825536901495,-0.0007492921109480642,0.0027449535684701404,-0.006887029980343052,0.00709525164953085,0.002177212170591838,0.023347109810135585,-0.0036716701323649997,47,65,42,46,58,49
1997-07,0.006022,-0.066254,-0.07227599999999999,0.05184717228716816,0.01273774251045032,-0.007429705677309759,-0.03794336809089654,-0.01249435354601189,-0.07991708818865602,-0.0841149006880134,-0.04937695529905325,68,101,73,78,92,72
1997-08,0.006022,-0.006532,-0.012554,0.040132469717549156,0.09906160443360462,0.008588845806792547,0.005550678114575457,0.10845243591364588,-0.03820743518696909,-0.019650197704051325,0.060052183573386826,68,101,73,78,92,72
1997-09,0.006022,-0.107803,-0.113825,0.011079247972470535,-0.03504910333662531,-0.10056128068491109,-0.10021951004339266,-0.11824904989820932,-0.08965804661712352,-0.12054105384972529,-0.14206848407707592,68,101,73,78,92,72
1997-10,0.004606,0.135003,0.130397,-0.044262354558220154,-0.045321977666286845,0.09182699762106901,0.0899004447683524,0.06346004183695231,0.15258030296934272,0.13509094151080578,0.0903033034208857,68,101,73,78,92,72
1997-11,0.004606,-0.046325,-0.050931,0.018436594199689484,-0.012541072470067558,-0.02172804595075585,-0.039702551283298124,-0.03092054771112425,-0.03883088373054864,-0.05410951690338268,-0.054720526910315356,68,101,73,78,92,72
1997-12,0.004606,0.043717,0.039111,0.06257741716627781,-0.035392725131093046,0.08991927268970142,0.08766017965026293,0.05808509088906553,0.023246336616965946,0.04039088695781476,-0.015704931844584265,68,101,73,78,92,72
1998-01,0.004606,0.019986,0.015380000000000001,0.03170332805637591,-0.006327946665171804,0.055631043556540465,0.05195084475563316,0.03876177227469127,0.012442416366181385,0.022135465733868848,0.01665579431768697,68,101,73,78,92,72
1998-02,0.004606,-0.022234,-0.02684,0.03343171059176915,0.042652787855089316,-0.007185975656962233,0.011614923591056675,0.03625142157739828,-0.03200042456109532,-0.0374820916174422,0.009867753914722806,68,101,73,78,92,72
1998-03,0.004249,0.023757,0.019508,0.05123752357153125,0.020146849474748006,0.04053095116644167,0.0916328757178718,0.06588123223113804,-0.0031029950727850713,0.03559506066162826,0.011840422812014566,68,101,73,78,92,72
1998-04,0.004249,0.089083,0.08483399999999999,0.07669057460430502,0.016676476826164563,0.12568580184127368,0.1500316985354878,0.1488697603028041,0.0663790096357404,0.05158852240437102,0.07654800482653909,68,101,73,78,92,72
1998-05,0.004249,0.05492,0.050670999999999994,0.05712645834454226,0.02799435529189015,0.08370869735323815,0.13763435375453908,0.10795278042282627,0.0456703563447855,0.034831116293213546,0.07741498385897769,68,101,73,78,92,72
