row_factor,MKT_RF,SMB,HML
MKT_RF,1.0,0.36777482564419167,-0.24111491485325873
SMB,0.36777482564419167,1.0,-0.12786363379222013
HML,-0.24111491485325873,-0.12786363379222013,1.0
