portfolio,size_quintile,bm_quintile,alpha_pct,beta_mkt,beta_smb,beta_hml,nw12_t_alpha,nw12_t_mkt,nw12_t_smb,nw12_t_hml,r2,n_months
S1B1,1,1,0.5040369317315613,1.0921489430317601,1.166904912276076,-0.4845434844330258,1.6329406366026142,24.68646489167774,9.646375233267651,-4.791085641778189,0.9559173435580464,189
S1B2,1,2,0.3833777055303511,0.931590616182401,0.9097247117764198,-0.2845995998953007,1.5054672364869635,25.24560328913463,5.918196084432085,-3.0341211683734004,0.9217310068191004,201
S1B3,1,3,0.12635769026674762,0.8510760417827993,1.069819027689495,0.19931420174986686,0.40168662126184096,16.163596283809742,18.417223346955645,1.9375556089390464,0.9197496824160524,213
S1B4,1,4,1.1374825205099757,0.8918025385445942,1.0939884868266483,0.3167837449303592,2.1568485082744933,13.813683337606447,14.476950205515157,2.4708122424586367,0.8868943426901733,213
S1B5,1,5,0.4812342817024801,0.9062138958459198,1.1002055000502273,0.524526670270359,1.137053661305916,23.05870955580396,21.78598184014332,9.864762327149263,0.919267109019487,213
S2B1,2,1,-0.1309436546937182,0.9192333931173264,0.8763060210368684,-0.5667895332246902,-0.5662102102955324,32.360755249403105,7.969813046285687,-6.1147942064634595,0.9414252583095243,201
S2B2,2,2,0.6974943241320841,0.9281705692035911,0.6814106299203786,-0.2200334889054134,1.8911513485503806,24.523721457287824,5.136920886350997,-1.4573108930336327,0.8934227671736386,213
S2B3,2,3,-0.24938837803226543,0.8179283573221345,0.7607087297471683,0.15023205138821089,-0.8887333860394171,16.079765897465958,6.5013795397610945,1.1492396176094835,0.926957865810864,201
S2B4,2,4,-0.07638103259916884,0.9895905268847305,0.9054273709131576,0.2983359148218637,-0.361302836182096,38.71500950293945,14.463082295238928,2.965130659680305,0.9562776777613289,201
S2B5,2,5,0.2748592230836246,1.0007031342133874,0.5544513914784641,0.6870749501488653,0.8224884164514374,9.93028220001149,2.3391810320044626,3.161106561758967,0.8645099289255451,213
S3B1,3,1,-0.30987589483799355,0.9521039742434249,0.7015843691052229,-0.5229592063750493,-1.3287176935652696,18.768101045801302,5.185578617437718,-4.850420732746728,0.9340060448706954,213
S3B2,3,2,-0.23861301230079712,0.9222907627895481,0.6232184611925358,-0.2801738562477225,-0.867201804448272,40.76598556865077,5.7087796309660845,-2.7634350149640134,0.937030906319582,201
S3B3,3,3,-0.012369183944085906,0.9937216957530133,0.5067935527288433,-0.0025900828209625693,-0.04095743234067414,27.23537693328754,3.1723837799089893,-0.024185085821364524,0.9138724630260829,201
S3B4,3,4,0.18314170047180028,0.892247857986669,0.3740757631842757,0.5234603465666515,0.5211931692163089,15.939696950347274,1.6698393034100147,2.8460136179439934,0.83891578762003,213
S3B5,3,5,-0.3335765659236391,1.033834255554417,0.7290990210877384,0.5241465029679373,-1.7279948309141886,45.790307681436396,7.237157097371529,4.820815434811042,0.9397010326357221,201
S4B1,4,1,0.10170179050403355,1.017829908308093,0.026326613979873084,-0.1742694425215593,0.3121313142108087,7.251452087516016,0.08312791199299528,-0.6378125905654085,0.7847550131966139,213
S4B2,4,2,-0.23995602523120374,0.8080048692427915,0.3419403195122847,-0.07534580836190008,-0.782617544740691,12.141913798392551,2.4677674885356424,-0.5932119826844232,0.8567551716608885,201
S4B3,4,3,0.04832510883902609,0.8529536404717545,0.6778794260172906,-0.5067387805312219,0.09805091604884747,6.866993329684868,2.7606380501853027,-1.4194758322631997,0.7759711112336586,213
S4B4,4,4,-0.1897785119408862,0.870909716137345,0.43206886396830735,0.37243581197010306,-0.7038574396319367,15.34288366291497,3.3391261857878547,2.394270565691254,0.8991917668816237,189
S4B5,4,5,-0.25143438557513426,0.9170104598327872,0.37420007717486514,0.4704803264141416,-1.0298133494313222,21.31168012758136,2.8798120828484457,8.544325022478205,0.8943416126887229,201
S5B1,5,1,0.11213867540929343,1.0971585085124738,0.003546854153993667,-0.7973027614795765,0.39649037058418274,27.35156785395518,0.04931467110787755,-6.10272054442028,0.9482950657462621,201
S5B2,5,2,0.16006907004394122,0.8833369672132995,-0.49422782953624483,0.12921071886971097,0.5288768614862388,21.13579407685885,-4.1189367069885225,1.9543877543279395,0.8759882204699427,201
S5B3,5,3,0.4564621804972269,0.9467110910018017,-0.45061590503924126,0.11839185411503184,1.1505375911773992,18.493370463335925,-3.3901434824560943,1.01983983059915,0.8562082991413613,213
S5B4,5,4,0.4270191243075421,0.9750515934375825,-0.2070395506873314,0.07693124138524865,1.0745302703095843,38.61150331459265,-1.8930645629158,0.5944138988236877,0.8807070601804357,201
S5B5,5,5,-0.008911711067636205,1.0097319414912818,-0.22261213201529517,0.5992804653136724,-0.03603088794253491,36.66990235866518,-2.279816323975125,7.268465621246889,0.923189472495007,201
