size_decile,beta_decile_within_size,portfolio,avg_monthly_return_pct,post_ranking_beta,avg_size
1,1,S1B1,2.333,1.1236,1558849.75
1,2,S1B2,2.152,1.1218,1624501.25
1,3,S1B3,2.397,1.1789,1613019.24
1,4,S1B4,2.472,1.1846,1625575.67
1,5,S1B5,2.218,1.1538,1617192.03
1,6,S1B6,2.458,1.1370,1618528.40
1,7,S1B7,2.296,1.1479,1619328.80
1,8,S1B8,2.203,1.1453,1636464.41
1,9,S1B9,3.006,1.4187,1607457.17
1,10,S1B10,2.446,1.2160,1562795.03
2,1,S2B1,2.154,1.0939,2319194.74
2,2,S2B2,2.166,1.1649,2333521.33
2,3,S2B3,1.888,1.1336,2314383.09
2,4,S2B4,2.137,1.1295,2333845.58
2,5,S2B5,2.167,1.1613,2318646.73
2,6,S2B6,2.609,1.0883,2329981.33
2,7,S2B7,2.046,1.2140,2314460.23
2,8,S2B8,2.061,1.2453,2321165.26
2,9,S2B9,1.826,1.2398,2344436.39
2,10,S2B10,2.061,1.1973,2348356.16
3,1,S3B1,1.491,1.1415,2939833.23
3,2,S3B2,1.875,1.0955,2965839.04
3,3,S3B3,1.709,1.1209,2936230.84
3,4,S3B4,1.763,1.0860,2956536.11
3,5,S3B5,1.823,1.2094,2946996.60
3,6,S3B6,1.668,1.2118,2952742.65
3,7,S3B7,1.756,1.1266,2950906.50
3,8,S3B8,1.875,1.2540,2938982.60
3,9,S3B9,1.831,1.1848,2957320.14
3,10,S3B10,1.694,1.2284,2968601.40
4,1,S4B1,1.321,1.0820,3663672.50
4,2,S4B2,1.620,1.1004,3641127.80
4,3,S4B3,1.774,1.1420,3613139.34
4,4,S4B4,1.500,1.1784,3612711.89
4,5,S4B5,1.533,1.1471,3655348.39
4,6,S4B6,1.777,1.1868,3656531.94
4,7,S4B7,1.748,1.1603,3626217.74
4,8,S4B8,1.579,1.1970,3656543.96
4,9,S4B9,1.644,1.2123,3639260.13
4,10,S4B10,1.605,1.2466,3673707.29
5,1,S5B1,1.522,1.0256,4515258.42
5,2,S5B2,1.377,1.0722,4543962.95
5,3,S5B3,1.509,1.1637,4483607.61
5,4,S5B4,1.499,1.1805,4542379.93
5,5,S5B5,1.342,1.1213,4528690.48
5,6,S5B6,1.288,1.1606,4505150.67
5,7,S5B7,1.568,1.1676,4508281.23
5,8,S5B8,1.474,1.1608,4534272.82
5,9,S5B9,1.303,1.2326,4533745.14
5,10,S5B10,1.363,1.2308,4528120.19
6,1,S6B1,1.491,1.0695,5695757.94
6,2,S6B2,1.453,1.1208,5727873.71
6,3,S6B3,1.413,1.1316,5673145.43
6,4,S6B4,1.369,1.1445,5685767.92
6,5,S6B5,1.286,1.1719,5741284.30
6,6,S6B6,1.313,1.1725,5665525.08
6,7,S6B7,1.129,1.1352,5672895.00
6,8,S6B8,1.304,1.1927,5677350.50
6,9,S6B9,1.528,1.1631,5747640.14
6,10,S6B10,0.997,1.2039,5743869.43
7,1,S7B1,1.377,1.0377,7654790.38
7,2,S7B2,1.657,1.1047,7691597.33
7,3,S7B3,1.584,1.0541,7703573.46
7,4,S7B4,1.327,1.1711,7620893.01
7,5,S7B5,1.132,1.1469,7680598.78
7,6,S7B6,1.168,1.1787,7649898.16
7,7,S7B7,0.953,1.1555,7598655.22
7,8,S7B8,1.115,1.2398,7637454.86
7,9,S7B9,0.923,1.1704,7581941.98
7,10,S7B10,0.793,1.2674,7675011.59
8,1,S8B1,1.292,0.9170,10958391.09
8,2,S8B2,1.140,0.9827,10893799.74
8,3,S8B3,0.984,1.0027,10949179.47
8,4,S8B4,1.281,1.1670,10906332.88
8,5,S8B5,1.351,1.1539,10883926.80
8,6,S8B6,1.067,1.1939,10717469.06
8,7,S8B7,1.092,1.1302,10745629.42
8,8,S8B8,1.175,1.2529,10832053.98
8,9,S8B9,1.180,1.1734,10820125.39
8,10,S8B10,0.535,1.1868,10809165.73
9,1,S9B1,0.935,0.8982,18111631.25
9,2,S9B2,1.387,1.0387,17999691.48
9,3,S9B3,1.182,1.0519,17602059.40
9,4,S9B4,0.622,1.0315,17880799.34
9,5,S9B5,1.300,1.1690,18064968.24
9,6,S9B6,1.018,1.1247,18023030.88
9,7,S9B7,0.808,1.1626,18111972.46
9,8,S9B8,0.866,1.1669,17837537.91
9,9,S9B9,0.936,1.2716,18043054.13
9,10,S9B10,0.961,1.2617,18259295.59
10,1,S10B1,0.777,0.6921,172584442.20
10,2,S10B2,0.774,0.7612,127786861.70
10,3,S10B3,0.788,0.9242,80669639.90
10,4,S10B4,0.871,0.9733,82157457.23
10,5,S10B5,0.750,0.9956,95719449.21
10,6,S10B6,0.424,1.0119,77329128.94
10,7,S10B7,0.712,1.0785,69328454.03
10,8,S10B8,0.675,1.1411,65369366.51
10,9,S10B9,0.347,1.2106,66854792.36
10,10,S10B10,0.364,1.2557,64487844.07
