portfolio,avg_monthly_return_pct,post_ranking_beta,avg_size
S1,2.415,1.1737,1636628.25
S2,2.044,1.1504,2336174.88
S3,1.697,1.1501,2931220.13
S4,1.568,1.1632,3611173.99
S5,1.380,1.1374,4478274.66
S6,1.305,1.1432,5673923.61
S7,1.176,1.1361,7549523.93
S8,1.097,1.1093,10739842.55
S9,0.995,1.1105,17761500.97
S10,0.676,0.9241,89799689.68
