portfolio,avg_monthly_return_pct,post_ranking_beta,avg_size
B1,0.965,0.7803,35617325.34
B2,0.999,0.9512,17212152.14
B3,1.027,1.0137,13287714.11
B4,1.058,1.1066,11206805.58
B5,0.892,1.0722,12446229.80
B6,0.890,1.1010,9987849.07
B7,0.985,1.1211,11399609.99
B8,1.024,1.1910,10624296.34
B9,0.871,1.1969,12601916.67
B10,0.584,1.2484,14718220.19
