portfolio,avg_monthly_return_pct,avg_size
M1,0.584,20347300.22
M2,0.801,13682001.90
M3,0.869,11050535.74
M4,0.987,10106860.72
M5,0.939,9346911.63
M6,1.037,9029049.90
M7,1.028,11425299.35
M8,1.075,12223476.24
M9,1.054,15630542.48
M10,1.054,35653192.78
