portfolio,avg_monthly_return_pct,post_ranking_beta,avg_size
B1,2.459,0.8729,5730660.05
B2,1.542,0.9454,6460458.56
B3,2.309,0.7304,5527328.01
B4,2.015,0.8658,4574768.76
B5,1.253,0.7105,5507080.26
B6,1.355,0.8935,3650640.22
B7,0.933,0.7224,3941712.51
B8,1.238,0.9682,3609642.48
B9,1.717,1.2526,3833223.95
B10,1.677,1.0932,5036524.24
