portfolio,avg_monthly_return_pct,post_ranking_beta,avg_size
S1,3.445,1.1193,847645.56
S2,2.392,0.9481,1180190.13
S3,2.203,0.9542,1432016.86
S4,1.790,1.0125,1704000.52
S5,1.789,0.9662,2037207.17
S6,1.625,0.9310,2457277.36
S7,1.544,0.9532,3030449.51
S8,1.195,0.8781,3980993.17
S9,1.359,0.9340,6093363.55
S10,1.123,0.9500,31938626.88
