portfolio,avg_monthly_return_pct,avg_size
M1,1.217,5570370.94
M2,1.390,5676568.14
M3,1.320,4981172.58
M4,1.121,6058799.46
M5,1.682,4585123.25
M6,1.362,4724434.43
M7,1.837,7546431.31
M8,1.584,3955759.22
M9,2.072,7465555.05
M10,2.052,5260966.28
