Trdmnt,model,coefficient,lambda,n_stocks
1993-08,M1_beta,intercept,-0.0156826481,11
1993-08,M1_beta,beta,0.0478170804,11
1993-08,M2_ln_size,intercept,0.0679105860,98
1993-08,M2_ln_size,ln_size,-0.0009112088,98
1993-08,M3_ln_be_me,intercept,0.3156926474,52
1993-08,M3_ln_be_me,ln_be_me,-0.0546530258,52
1993-08,M4_beta_ln_size,intercept,-0.1587852123,11
1993-08,M4_beta_ln_size,beta,0.0293958966,11
1993-08,M4_beta_ln_size,ln_size,0.0113428778,11
1993-08,M5_beta_ln_be_me,intercept,0.2954792377,11
1993-08,M5_beta_ln_be_me,beta,0.0203275337,11
1993-08,M5_beta_ln_be_me,ln_be_me,-0.0590562046,11
1993-08,M6_ln_size_ln_be_me,intercept,0.2360970516,52
1993-08,M6_ln_size_ln_be_me,ln_size,0.0054922725,52
1993-08,M6_ln_size_ln_be_me,ln_be_me,-0.0543144747,52
1993-08,M7_all3,intercept,0.1940302005,11
1993-08,M7_all3,beta,0.0095866348,11
1993-08,M7_all3,ln_size,0.0071947084,11
1993-08,M7_all3,ln_be_me,-0.0570292056,11
1993-09,M1_beta,intercept,0.3699347800,11
1993-09,M1_beta,beta,-0.3884971565,11
1993-09,M2_ln_size,intercept,0.4848102314,98
1993-09,M2_ln_size,ln_size,-0.0347620437,98
1993-09,M3_ln_be_me,intercept,-0.3448142967,52
1993-09,M3_ln_be_me,ln_be_me,0.0695216283,52
1993-09,M4_beta_ln_size,intercept,1.4310174743,11
1993-09,M4_beta_ln_size,beta,-0.2519070154,11
1993-09,M4_beta_ln_size,ln_size,-0.0841056304,11
1993-09,M5_beta_ln_be_me,intercept,-0.2884885963,11
1993-09,M5_beta_ln_be_me,beta,-0.3303288492,11
1993-09,M5_beta_ln_be_me,ln_be_me,0.1249638450,11
1993-09,M6_ln_size_ln_be_me,intercept,0.5021937119,52
1993-09,M6_ln_size_ln_be_me,ln_size,-0.0584454292,52
1993-09,M6_ln_size_ln_be_me,ln_be_me,0.0659189734,52
1993-09,M7_all3,intercept,0.7914058084,11
1993-09,M7_all3,beta,-0.2159952201,11
1993-09,M7_all3,ln_size,-0.0765855010,11
1993-09,M7_all3,ln_be_me,0.1033870513,11
1993-10,M1_beta,intercept,0.3650487313,11
1993-10,M1_beta,beta,-0.4104724825,11
1993-10,M2_ln_size,intercept,0.6602890942,98
1993-10,M2_ln_size,ln_size,-0.0501081691,98
1993-10,M3_ln_be_me,intercept,0.1524223697,52
1993-10,M3_ln_be_me,ln_be_me,-0.0399995730,52
1993-10,M4_beta_ln_size,intercept,1.6218956313,11
1993-10,M4_beta_ln_size,beta,-0.2486821750,11
1993-10,M4_beta_ln_size,ln_size,-0.0996226792,11
1993-10,M5_beta_ln_be_me,intercept,0.8029372514,11
1993-10,M5_beta_ln_be_me,beta,-0.4491576734,11
1993-10,M5_beta_ln_be_me,ln_be_me,-0.0831079744,11
1993-10,M6_ln_size_ln_be_me,intercept,1.1747124990,52
1993-10,M6_ln_size_ln_be_me,ln_size,-0.0705402838,52
1993-10,M6_ln_size_ln_be_me,ln_be_me,-0.0443477710,52
1993-10,M7_all3,intercept,2.3240785244,11
