portfolio,size_quintile,bm_quintile,actual_avg_excess_pct,fitted_avg_excess_pct,pricing_error_pct,rmse_pct,mae_pct
S1B1,1,1,1.5202238689794432,1.4801098808738329,0.04011398810561031,,
S1B2,1,2,1.7498283754679416,1.4484383083571652,0.3013900671107763,,
S1B3,1,3,1.9403150822458204,1.428160020561271,0.5121550616845492,,
S1B4,1,4,1.9683421939582335,1.4586111367732248,0.5097310571850087,,
S1B5,1,5,1.8690336838924455,1.445033900992625,0.42399978289982077,,
S2B1,2,1,0.994647626012729,1.2769721882256857,-0.2823245622129567,,
S2B2,2,2,1.420247178805511,1.306171880046419,0.11407529875909206,,
S2B3,2,3,1.4219806432650297,1.3072689918243217,0.11471165144070813,,
S2B4,2,4,1.430775633386871,1.2912351901293122,0.13954044325755893,,
S2B5,2,5,1.3121754058077986,1.3999442825056196,-0.08776887669782099,,
S3B1,3,1,0.8706381740646786,1.1147007032086291,-0.24406252914395046,,
S3B2,3,2,0.922005580864802,1.0993034944865498,-0.1772979136217479,,
S3B3,3,3,1.051403546871833,1.1398318908668392,-0.08842834399500621,,
S3B4,3,4,1.0801813010816559,1.2028186214697465,-0.12263732038809064,,
S3B5,3,5,1.2272813981195037,1.1939148869662293,0.03336651115327417,,
S4B1,4,1,0.6152436713908604,0.8621399205460916,-0.2468962491552311,,
S4B2,4,2,0.8090849109929096,0.8900846133400808,-0.08099970234717122,,
S4B3,4,3,0.827431146519986,0.9673313008711057,-0.13990015435111983,,
S4B4,4,4,0.8880107567009148,1.034889511946754,-0.14687875524583924,,
S4B5,4,5,0.9634622224768123,1.0519521391436373,-0.08848991666682501,,
S5B1,5,1,0.2500510109831827,0.26718467723577305,-0.01713366625259033,,
S5B2,5,2,0.6112950108119829,0.2577187819974187,0.35357622881456413,,
S5B3,5,3,0.34091307163737883,0.32281757654275867,0.018095495094620166,,
S5B4,5,4,0.3080940266339417,0.48796157438327076,-0.17986754774932906,,
S5B5,5,5,0.6627005036931035,0.506894043951206,0.1558064597418975,,
SUMMARY,,,,,,0.23161494812783862,0.18476990332300633
