size_quintile,bm_quintile,avg_excess_return_pct,n_months
1,1,1.5202238689794432,280
1,2,1.7498283754679416,280
1,3,1.9403150822458204,280
1,4,1.9683421939582335,280
1,5,1.8690336838924455,280
2,1,0.994647626012729,280
2,2,1.420247178805511,280
2,3,1.4219806432650297,280
2,4,1.430775633386871,280
2,5,1.3121754058077986,280
3,1,0.8706381740646786,280
3,2,0.922005580864802,280
3,3,1.051403546871833,280
3,4,1.0801813010816559,280
3,5,1.2272813981195037,280
4,1,0.6152436713908604,280
4,2,0.8090849109929096,280
4,3,0.827431146519986,280
4,4,0.8880107567009148,280
4,5,0.9634622224768123,280
5,1,0.2500510109831827,280
5,2,0.6112950108119829,280
5,3,0.34091307163737883,280
5,4,0.3080940266339417,280
5,5,0.6627005036931035,280
