Trdmnt,size_quintile,bm_quintile,portfolio,vw_return,excess_return,n_stocks
2000-01,1,1,S1B1,,,0
2000-01,1,2,S1B2,,,0
2000-01,1,3,S1B3,,,0
2000-01,1,4,S1B4,,,0
2000-01,1,5,S1B5,,,0
2000-01,2,1,S2B1,,,0
2000-01,2,2,S2B2,,,0
2000-01,2,3,S2B3,,,0
2000-01,2,4,S2B4,,,0
2000-01,2,5,S2B5,,,0
2000-01,3,1,S3B1,,,0
2000-01,3,2,S3B2,,,0
2000-01,3,3,S3B3,,,0
2000-01,3,4,S3B4,,,0
2000-01,3,5,S3B5,,,0
2000-01,4,1,S4B1,,,0
2000-01,4,2,S4B2,,,0
2000-01,4,3,S4B3,,,0
2000-01,4,4,S4B4,,,0
2000-01,4,5,S4B5,,,0
2000-01,5,1,S5B1,,,0
2000-01,5,2,S5B2,,,0
2000-01,5,3,S5B3,,,0
2000-01,5,4,S5B4,,,0
2000-01,5,5,S5B5,,,0
2000-02,1,1,S1B1,,,0
2000-02,1,2,S1B2,,,0
2000-02,1,3,S1B3,,,0
2000-02,1,4,S1B4,,,0
2000-02,1,5,S1B5,,,0
2000-02,2,1,S2B1,,,0
2000-02,2,2,S2B2,,,0
2000-02,2,3,S2B3,,,0
2000-02,2,4,S2B4,,,0
2000-02,2,5,S2B5,,,0
2000-02,3,1,S3B1,,,0
2000-02,3,2,S3B2,,,0
2000-02,3,3,S3B3,,,0
2000-02,3,4,S3B4,,,0
2000-02,3,5,S3B5,,,0
2000-02,4,1,S4B1,,,0
2000-02,4,2,S4B2,,,0
2000-02,4,3,S4B3,,,0
2000-02,4,4,S4B4,,,0
2000-02,4,5,S4B5,,,0
2000-02,5,1,S5B1,,,0
2000-02,5,2,S5B2,,,0
2000-02,5,3,S5B3,,,0
2000-02,5,4,S5B4,,,0
2000-02,5,5,S5B5,,,0
2000-03,1,1,S1B1,,,0
2000-03,1,2,S1B2,,,0
2000-03,1,3,S1B3,,,0
2000-03,1,4,S1B4,,,0
2000-03,1,5,S1B5,,,0
2000-03,2,1,S2B1,,,0
2000-03,2,2,S2B2,,,0
2000-03,2,3,S2B3,,,0
2000-03,2,4,S2B4,,,0
2000-03,2,5,S2B5,,,0
2000-03,3,1,S3B1,,,0
2000-03,3,2,S3B2,,,0
2000-03,3,3,S3B3,,,0
2000-03,3,4,S3B4,,,0
2000-03,3,5,S3B5,,,0
2000-03,4,1,S4B1,,,0
2000-03,4,2,S4B2,,,0
2000-03,4,3,S4B3,,,0
2000-03,4,4,S4B4,,,0
2000-03,4,5,S4B5,,,0
2000-03,5,1,S5B1,,,0
2000-03,5,2,S5B2,,,0
2000-03,5,3,S5B3,,,0
2000-03,5,4,S5B4,,,0
2000-03,5,5,S5B5,,,0
2000-04,1,1,S1B1,,,0
2000-04,1,2,S1B2,,,0
2000-04,1,3,S1B3,,,0
2000-04,1,4,S1B4,,,0
2000-04,1,5,S1B5,,,0
2000-04,2,1,S2B1,,,0
2000-04,2,2,S2B2,,,0
2000-04,2,3,S2B3,,,0
2000-04,2,4,S2B4,,,0
2000-04,2,5,S2B5,,,0
2000-04,3,1,S3B1,,,0
2000-04,3,2,S3B2,,,0
2000-04,3,3,S3B3,,,0
2000-04,3,4,S3B4,,,0
2000-04,3,5,S3B5,,,0
2000-04,4,1,S4B1,,,0
2000-04,4,2,S4B2,,,0
2000-04,4,3,S4B3,,,0
2000-04,4,4,S4B4,,,0
2000-04,4,5,S4B5,,,0
2000-04,5,1,S5B1,,,0
2000-04,5,2,S5B2,,,0
2000-04,5,3,S5B3,,,0
2000-04,5,4,S5B4,,,0
2000-04,5,5,S5B5,,,0
2000-05,1,1,S1B1,,,0
2000-05,1,2,S1B2,,,0
2000-05,1,3,S1B3,,,0
2000-05,1,4,S1B4,,,0
2000-05,1,5,S1B5,,,0
2000-05,2,1,S2B1,,,0
2000-05,2,2,S2B2,,,0
2000-05,2,3,S2B3,,,0
2000-05,2,4,S2B4,,,0
2000-05,2,5,S2B5,,,0
2000-05,3,1,S3B1,,,0
2000-05,3,2,S3B2,,,0
2000-05,3,3,S3B3,,,0
2000-05,3,4,S3B4,,,0
2000-05,3,5,S3B5,,,0
2000-05,4,1,S4B1,,,0
2000-05,4,2,S4B2,,,0
2000-05,4,3,S4B3,,,0
2000-05,4,4,S4B4,,,0
2000-05,4,5,S4B5,,,0
2000-05,5,1,S5B1,,,0
2000-05,5,2,S5B2,,,0
2000-05,5,3,S5B3,,,0
2000-05,5,4,S5B4,,,0
2000-05,5,5,S5B5,,,0
2000-06,1,1,S1B1,,,0
2000-06,1,2,S1B2,,,0
2000-06,1,3,S1B3,,,0
2000-06,1,4,S1B4,,,0
2000-06,1,5,S1B5,,,0
2000-06,2,1,S2B1,,,0
2000-06,2,2,S2B2,,,0
2000-06,2,3,S2B3,,,0
2000-06,2,4,S2B4,,,0
2000-06,2,5,S2B5,,,0
2000-06,3,1,S3B1,,,0
2000-06,3,2,S3B2,,,0
2000-06,3,3,S3B3,,,0
2000-06,3,4,S3B4,,,0
2000-06,3,5,S3B5,,,0
2000-06,4,1,S4B1,,,0
2000-06,4,2,S4B2,,,0
2000-06,4,3,S4B3,,,0
2000-06,4,4,S4B4,,,0
2000-06,4,5,S4B5,,,0
2000-06,5,1,S5B1,,,0
2000-06,5,2,S5B2,,,0
2000-06,5,3,S5B3,,,0
2000-06,5,4,S5B4,,,0
2000-06,5,5,S5B5,,,0
