factor,mean_monthly_pct,nw12_tstat,signif,n_months
MKT_RF,0.49155769230769203,0.94901617330572,,286
SMB,0.8402427571736504,2.6963494859384163,***,280
HML,0.16080425077474186,0.796482401116705,,280
