Trdmnt,UMD,winner_ret,loser_ret,J,K,skip
1992-07,0.14390701357861874,0.1423459752872096,-0.0015610382914091475,12,3,1
1992-08,-0.0083501276293321,-0.16932354077827508,-0.16097341314894298,12,3,1
1992-09,0.03000804894750983,-0.08245930571204187,-0.1124673546595517,12,3,1
1992-10,0.13657785263259903,-0.2034805221406193,-0.3400583747732183,12,3,1
1992-11,-0.643125755145096,0.1889405047731553,0.8320662599182512,12,3,1
1992-12,0.11517983106443588,0.13281592838302853,0.017636097318592635,12,3,1
1993-01,-0.24881781771593917,0.2282120375034881,0.47702985521942726,12,3,1
1993-02,0.06934898248787255,0.16250128165175182,0.09315229916387927,12,3,1
1993-03,0.23038644342521034,-0.14201928625566243,-0.37240572968087277,12,3,1
1993-04,-0.2086317494100059,0.29968776046391926,0.5083195098739252,12,3,1
1993-05,0.05465724091990798,-0.20368878576790944,-0.2583460266878174,12,3,1
1993-06,-0.00639289387199146,-0.014976282315213271,-0.00858338844322181,12,3,1
1993-07,-0.016871172861668268,-0.08950271742882455,-0.07263154456715629,12,3,1
1993-08,-0.053687599507632376,0.009788811620702269,0.06347641112833464,12,3,1
1993-09,0.06143065170910915,0.019023508612603064,-0.04240714309650609,12,3,1
1993-10,0.1010589340867083,0.011395165809569209,-0.0896637682771391,12,3,1
1993-11,0.07712716995196231,0.21438435128223463,0.13725718133027232,12,3,1
1993-12,-0.0682579531014593,-0.1312101799082584,-0.0629522268067991,12,3,1
1994-01,0.10529977384621184,-0.08507805226754253,-0.19037782611375437,12,3,1
1994-02,-0.03840165587914306,-0.01754062304638991,0.020861032832753142,12,3,1
1994-03,0.039464760433932544,-0.07345203714165072,-0.11291679757558326,12,3,1
1994-04,-0.03652548501741365,-0.13931072193596278,-0.10278523691854913,12,3,1
1994-05,-0.02269713926978613,-0.10266027616846753,-0.0799631368986814,12,3,1
1994-06,0.062003230898417944,-0.15053298079380484,-0.21253621169222278,12,3,1
1994-07,-0.07050839343659432,-0.3361579072890656,-0.26564951385247126,12,3,1
1994-08,0.28005465371353644,1.4805006309487743,1.2004459772352378,12,3,1
1994-09,-0.09448306419829483,0.0771274991578828,0.17161056335617764,12,3,1
1994-10,-0.008117441098349748,-0.19798096965790168,-0.18986352855955194,12,3,1
1994-11,0.08555147923770415,0.08066690555078665,-0.004884573686917504,12,3,1
1994-12,-0.005474916646868638,-0.05324482891890299,-0.04776991227203435,12,3,1
1995-01,-0.0406702928701832,-0.14225859278044378,-0.10158829991026058,12,3,1
1995-02,-0.025216492256498142,-0.029031065530148115,-0.003814573273649971,12,3,1
1995-03,0.13670356170915854,0.2111773018445856,0.07447374013542707,12,3,1
1995-04,-0.007267676977929349,-0.0996605771894172,-0.09239290021148786,12,3,1
1995-05,0.059452615320860575,0.21138729135361073,0.15193467603275015,12,3,1
1995-06,-0.0703744660808033,-0.11285751212111109,-0.04248304604030778,12,3,1
1995-07,-0.048956367429461856,0.043958687328327556,0.09291505475778941,12,3,1
1995-08,-0.12809358206083035,-0.022397950413751717,0.10569563164707863,12,3,1
1995-09,-0.03594689133273387,-0.030646065095884443,0.005300826236849424,12,3,1
1995-10,0.00524477498144987,0.01030308332602059,0.00505830834457072,12,3,1
