row_factor,MKT_RF,SMB,HML,UMD
MKT_RF,1.0,0.33204424224544143,-0.23543747619765384,-0.05869634847288391
SMB,0.33204424224544143,1.0,-0.2242290359646423,-0.29117886885445277
HML,-0.23543747619765384,-0.2242290359646423,1.0,0.09823703799552543
UMD,-0.05869634847288391,-0.29117886885445277,0.09823703799552543,1.0
