portfolio,size_quintile,bm_quintile,alpha_ff3_pct,t_alpha_ff3,alpha_ff4_pct,t_alpha_ff4,beta_umd,t_beta_umd,r2_ff3,r2_ff4,beta_mkt_ff4,beta_smb_ff4,beta_hml_ff4,n_ff3,n_ff4
S1B1,1,1,0.2508881372378473,1.3673920188643918,0.23071911945217785,1.2627471825881356,0.025552000098381877,0.5762908413619351,0.9469437218199211,0.9470670718697716,1.074563139330033,1.1323848834698742,-0.33455712857316555,378,378
S1B2,1,2,0.4620131982218466,2.8489580897318842,0.5542531126258115,3.401568074338706,-0.11381290342512611,-2.1853047237811873,0.9278051235709671,0.9311396904086311,0.9361340644693736,0.9774022177825241,-0.35699761201721797,390,390
S1B3,1,3,0.4307615584120822,2.3481439275826723,0.4973302872105937,3.0356815154026764,-0.0757826842708168,-1.454745037548907,0.9197307904620111,0.9213860325437355,0.8609335969422657,1.0925723446120552,0.08449786465729378,402,402
S1B4,1,4,0.9199438363510105,3.1258573001738372,0.7837418672598253,2.77201885879884,0.15505404725306474,1.9453899429493446,0.8810578584228109,0.8874378824684616,0.8818280021964072,1.1952604744820499,0.2342664383456635,402,402
S1B5,1,5,0.4660636986423966,2.000722398929077,0.4560781246498786,2.1229918365277496,0.011367703947424895,0.2976607493426565,0.915976509432666,0.9160124243102682,0.9137036278863079,1.1169802190192406,0.4422789582205838,402,402
S2B1,2,1,-0.1906033894749329,-1.5646756834997517,-0.12226404371257489,-0.9776013880842793,-0.0843224910782574,-1.9881774034197093,0.9367257957904875,0.9386231954032539,0.9485247405482711,0.8097417070411151,-0.49028785840586825,390,390
S2B2,2,2,0.415994759603403,1.9285327587005494,0.3872165212176584,1.9433033531651238,0.03276151119031122,0.4164038010021151,0.9049747552515928,0.9052784561753489,0.9256655437221609,0.7903536548559076,-0.278595740002637,402,402
S2B3,2,3,0.02767695085283111,0.15693171394608074,0.09963464295875772,0.653508226519429,-0.0887870930417383,-1.450644095052627,0.922455191699169,0.9251622747207758,0.8415549759200344,0.8450501978525468,-0.030789316736498387,390,390
S2B4,2,4,0.019234918547861475,0.1522953074258237,0.04314176769679324,0.3382398544563373,-0.02949816173365296,-0.6821055655861344,0.9514816478331701,0.9517123978508877,0.9897263787414199,0.9645816587871082,0.15414305714862958,390,390
S2B5,2,5,0.14540645909247601,0.8423018456083355,0.04575898243313996,0.25562937100103544,0.11343994993377346,1.294541660576377,0.8676938693987688,0.8715434887114053,0.9792050120761984,0.7343392620984998,0.5625507356050391,402,402
S3B1,3,1,-0.21285632844503607,-1.5386234611681004,-0.2248269584259132,-1.4684112456661187,0.01362751683465914,0.30807375691600236,0.9374805981767723,0.9375300858905599,0.9547108037007976,0.7100371262930932,-0.5511868554334767,402,402
S3B2,3,2,-0.17930885592162663,-1.1017065463170552,-0.15797862599294088,-1.0321037725835494,-0.026318925105213484,-0.8046589524274185,0.939808999737391,0.9400181858552438,0.931653572950851,0.670600698984902,-0.37074220460063784,390,390
S3B3,3,3,0.037465738466083275,0.21021370630704567,0.0716945689447597,0.42549411616210214,-0.042234238862836476,-0.5601454082530762,0.9136626406350299,0.9141749922891788,0.981952092246278,0.6313781295285023,-0.1788891201646765,390,390
S3B4,3,4,0.03094856987759145,0.161475965470737,-0.033522372827940655,-0.17472839583363897,0.07339453800422488,0.8768666180047167,0.8351902424277566,0.8371952168539463,0.8867157933860319,0.5332496720268957,0.3331395428806004,402,402
S3B5,3,5,-0.16856307014157434,-1.3434706507779823,-0.15617419978937436,-1.3163908760781502,-0.015286368315198251,-0.27831321200611436,0.938022191540155,0.9380860739182268,1.045652908104774,0.702354340879806,0.4816420993729611,390,390
S4B1,4,1,0.01635494999301197,0.08428289267771677,-0.20575686723116882,-1.1521857940424782,0.2528549068206612,2.257976411185195,0.7952665458913475,0.8139221223351452,0.9633584105085948,0.29802130247141123,-0.35709918229015797,402,402
S4B2,4,2,-0.09618011821949332,-0.5444982341280369,-0.011539632400365022,-0.061708008008992114,-0.10443612725180636,-1.1290854959107084,0.8615707216325512,0.8657705489473743,0.8369163410296319,0.41164149485527707,-0.29147527167767234,390,390
S4B3,4,3,0.010384123080437162,0.04202483772513424,0.2798257917172257,0.9075096634972585,-0.3067358093243386,-1.9132434477466798,0.7971305297603078,0.8228884547435574,0.918648018950608,0.47924792589300325,-0.45894222184497835,402,402
S4B4,4,4,-0.17618820158549814,-1.0773000424280796,-0.16597868312921196,-1.0548145816778096,-0.012934373868459748,-0.19843141036022094,0.8887620438911541,0.8888210257528436,0.899923646366416,0.48438304752547984,0.1848813827724885,378,378
S4B5,4,5,-0.1614236108533352,-1.154742017779948,-0.07040964784841475,-0.4279954805552336,-0.11230022760484845,-1.7390592058877135,0.8958156123066129,0.9002210642208669,0.9596294672396422,0.3793063994406315,0.3895541889823573,390,390
S5B1,5,1,0.17364213132124423,1.0112049094306355,0.07034066371448883,0.42975901090663104,0.127461522838274,3.529505128106224,0.9416204316972872,0.9458638319150994,1.069576362845948,-0.07015731388149327,-0.7465143650179273,390,390
S5B2,5,2,0.24711200328463978,1.3456073268963973,0.20723609055188522,1.0545830790457291,0.046871658221406265,0.6622164137906361,0.8476508682380148,0.8487373234221118,0.8764081225653411,-0.34264809058172746,-0.07048102511993144,390,390
S5B3,5,3,0.20865392711545924,0.9325940377548443,0.18068472040552755,0.8080635609178843,0.031840499280367335,0.4670524354921763,0.8520071645456027,0.8524538076124498,0.9506876231467715,-0.32825953676177927,0.033939067237161814,402,402
