portfolio,size_quintile,bm_quintile,alpha_ff3_pct,t_alpha_ff3,alpha_ff4_pct,t_alpha_ff4,beta_umd,t_beta_umd,r2_ff3,r2_ff4,beta_mkt_ff4,beta_smb_ff4,beta_hml_ff4,n_ff3,n_ff4
S1B1,1,1,0.2508881372378473,1.3673920188643918,0.24952101375096905,1.3767108653428493,-0.01621886622826052,-0.21075916075689274,0.9469437218199211,0.946966159181782,1.0789827568181698,1.1202432747211337,-0.344545839220812,378,378
S1B2,1,2,0.4620131982218466,2.8489580897318842,0.45003692438303955,2.8957608464787357,-0.20833865097355975,-2.5017119079591774,0.9278051235709671,0.9328975130378244,0.943670004806529,0.9967134291420952,-0.3492697738456004,390,390
S1B3,1,3,0.4307615584120822,2.3481439275826723,0.42836054184507805,2.3417427531500024,-0.05697190894703541,-0.7724954460722849,0.9197307904620111,0.9203379662396293,0.8588387256059378,1.1069313755546126,0.09791483969914272,402,402
S1B4,1,4,0.9199438363510105,3.1258573001738372,0.9284487905150849,3.240900938116832,0.201807634688291,2.780469119299024,0.8810578584228109,0.8880724538940175,0.8805627853874558,1.1903669233267573,0.1928049593179729,402,402
S1B5,1,5,0.4660636986423966,2.000722398929077,0.46672668321487454,1.9957301695316894,0.015731460255457158,0.2512252626148548,0.915976509432666,0.9160211508834728,0.9135499086673303,1.1168903293875676,0.43908538818918896,402,402
S2B1,2,1,-0.1906033894749329,-1.5646756834997517,-0.20123401461439194,-1.6806297891571091,-0.18492981459591712,-3.6726997663266276,0.9367257957904875,0.9408850102475168,0.9568506481001608,0.8216938242969933,-0.4871048015366419,390,390
S2B2,2,2,0.415994759603403,1.9285327587005494,0.4210104567511694,1.8982862045956623,0.11901368992429623,1.0271051233717112,0.9049747552515928,0.9075760133491113,0.9204243224917349,0.8112580249331095,-0.29990861809197383,402,402
S2B3,2,3,0.02767695085283111,0.15693171394608074,0.01883613748975891,0.10582396036949815,-0.15379433990588776,-1.8210557930613622,0.922455191699169,0.9261569503483603,0.8466504341072075,0.860787951998586,-0.024034476749626464,390,390
S2B4,2,4,0.019234918547861475,0.1522953074258237,0.020271153557082103,0.16015034739253364,0.01802629155097285,0.2856176105079931,0.9514816478331701,0.9515209204747508,0.9852187839823933,0.9751351225018514,0.16213505555097546,390,390
S2B5,2,5,0.14540645909247601,0.8423018456083355,0.1585890993893416,0.9432408248386854,0.3128009164934119,2.298349456594467,0.8676938693987688,0.8866912231503373,0.9675234822685944,0.7781999821360558,0.5050726284546694,402,402
S3B1,3,1,-0.21285632844503607,-1.5386234611681004,-0.2111210744041258,-1.542036601749922,0.0411745327280684,0.7837609077392064,0.9374805981767723,0.9377738175351297,0.9530731926313107,0.7163395817994278,-0.5586830118785723,402,402
S3B2,3,2,-0.17930885592162663,-1.1017065463170552,-0.18341860252915715,-1.1226985706912112,-0.07149294309567739,-1.8033189710143416,0.939808999737391,0.9405124743180392,0.9354876889265421,0.6732702742755822,-0.37089392301942975,390,390
S3B3,3,3,0.037465738466083275,0.21021370630704567,0.03227586794322092,0.17881643239322428,-0.09028272382658536,-0.7730017268800133,0.9136626406350299,0.9147296631897324,0.9859121441954598,0.6375449713708004,-0.17710006663230785,390,390
S3B4,3,4,0.03094856987759145,0.161475965470737,0.041890049496471446,0.2320556155853108,0.259622107218793,1.9593570090500703,0.8351902424277566,0.8514733030760075,0.8754299614946311,0.5780701917246043,0.28654355122166736,402,402
S3B5,3,5,-0.16856307014157434,-1.3434706507779823,-0.16725731812622138,-1.3304991180987307,0.022714795690726874,0.35816209113291764,0.938022191540155,0.9380864774211112,1.0421173776197235,0.7088535118383581,0.4868957162959251,390,390
S4B1,4,1,0.01635494999301197,0.08428289267771677,0.03831662292560638,0.19826923919899567,0.521111952260232,3.449589553069978,0.7952665458913475,0.8466945078441923,0.9487901163440103,0.3451970609721395,-0.4562711692391017,402,402
S4B2,4,2,-0.09618011821949332,-0.5444982341280369,-0.10647227366863735,-0.5756597747137959,-0.1790418130668299,-1.4172418611154027,0.8615707216325512,0.8671962632842108,0.8427431047838416,0.4302963155595334,-0.28337525752441095,390,390
S4B3,4,3,0.010384123080437162,0.04202483772513424,-0.014943984934803062,-0.06332003524972153,-0.6009915481115626,-3.1024746227133417,0.7971305297603078,0.8613090925406551,0.9342910758194944,0.43097141768327074,-0.3437596843741241,402,402
S4B4,4,4,-0.17618820158549814,-1.0773000424280796,-0.18397317945665467,-1.1002451724217275,-0.09235706642022495,-1.0778776060736441,0.8887620438911541,0.8901197607037168,0.9074387863464287,0.4774429262620639,0.17562712268953393,378,378
