metric,ff3,ff4,improvement
mean_absolute_alpha_pct,0.21149202853060042,0.21315971522816868,0.0016676866975682547
rmse_alpha_pct,0.29012395122070145,0.2827210844016242,-0.007402866819077258
n_significant_5pct,4,4,0.0
n_significant_1pct,2,3,1.0
mean_r2,0.8973469101073472,0.9006541811060089,0.003307270998661682
