construction,weighting,momentum_breakpoints,J,K,skip,n_months,mean_umd_pct,std_umd_pct,nw12_tstat,sharpe,positive_months_pct,max_drawdown_pct
decile_wml,value_weighted,10/90,12,1,1,402,0.7602280686051742,8.928599253058009,1.7125414400955732,0.0851452783419302,57.21393034825871,-82.00588353151757
decile_wml,equal_weighted,10/90,12,1,1,402,-0.0910194330424878,8.245810145962412,-0.21495707332511468,-0.011038264455683079,48.00995024875622,-94.87129593508976
decile_wml,value_weighted,10/90,12,3,1,402,0.5940699757080578,8.407909342622798,1.4293551703425655,0.07065608720309312,55.223880597014926,-82.98947575501953
decile_wml,equal_weighted,10/90,12,3,1,402,0.22552075946637656,7.959600507207998,0.5540076944839086,0.02833317567409961,49.75124378109453,-86.24995220055905
carhart_2x3,value_weighted,30/70,12,1,1,402,-0.5970022982889589,6.161143339150439,-2.64529874638153,-0.0968979725719674,46.26865671641791,-98.09052401105271
carhart_2x3,equal_weighted,30/70,12,1,1,402,-0.753873270238914,5.972432211419839,-3.4461662986850317,-0.12622550471103533,44.02985074626866,-98.90643934924061
carhart_2x3,value_weighted,20/80,12,1,1,402,-0.8958116332424906,7.150100165781667,-3.1093178020872023,-0.12528658514877716,45.77114427860697,-99.85383350737578
carhart_2x3,equal_weighted,20/80,12,1,1,402,-1.0767725665037091,6.99102598833417,-4.051764619215674,-0.15402210895804208,43.78109452736319,-99.91655979967669
carhart_2x3,value_weighted,30/70,12,3,1,402,-0.17672064978888938,5.862721062506178,-0.7751040786027188,-0.03014311066563781,49.25373134328358,-85.34825214783348
carhart_2x3,equal_weighted,30/70,12,3,1,402,-0.2197936424744803,5.687309879996819,-1.047780631596253,-0.03864632789704844,48.00995024875622,-87.41924282726134
carhart_2x3,value_weighted,20/80,12,3,1,402,-0.32301323096361495,7.074077657065548,-1.0847965866834042,-0.04566153308212431,49.50248756218905,-97.26810448540981
carhart_2x3,equal_weighted,20/80,12,3,1,402,-0.37419659050039056,6.927373590571085,-1.3421523001659847,-0.05401709401232715,48.756218905472636,-97.49302703256359
