segment,start,end,n_months,mean_umd_pct,std_umd_pct,nw12_tstat
1992-2010,1992-07,2010-03,213,-0.2695721394842209,7.414822647893125,-0.7038722227464554
2010-2025,2010-04,2025-12,189,-0.07207849473542038,3.3607486959257074,-0.330024166676545
full,1992-07,2025-12,402,-0.17672064978888938,5.862721062506178,-0.7751040786027188
reversal_1_1_skip0,1992-07,2025-12,402,39.288567243044014,30.076994896132415,17.18925207556065
industry_neutral_note,,,,,,
