metric,ff3,ff4,improvement
mean_absolute_alpha_pct,0.21149202853060042,0.20587353158972405,-0.005618496940876377
rmse_alpha_pct,0.29012395122070145,0.2679066676879061,-0.02221728353279534
n_significant_5pct,4,4,0.0
n_significant_1pct,2,2,0.0
mean_r2,0.8973469101073472,0.8998865161388651,0.002539606031517816
