portfolio,size_quintile,bm_quintile,actual_avg_excess_pct,fitted_avg_excess_pct,pricing_error_pct,rmse_pct,mae_pct
S1B1,1,1,1.929133738324715,1.5488639243788869,0.3802698139458278,,
S1B2,1,2,1.7630440228921165,1.356137003340579,0.40690701955153724,,
S1B3,1,3,2.0104502333203484,1.5796886749082664,0.4307615584120822,,
S1B4,1,4,2.59083997010518,1.6708961337541697,0.9199438363510105,,
S1B5,1,5,2.223854353859615,1.7577906552172187,0.4660636986423963,,
S2B1,2,1,0.9172037319185435,1.155973426374679,-0.23876969445613544,,
S2B2,2,2,1.593081572765449,1.1770868131620458,0.41599475960340315,,
S2B3,2,3,1.2872135649486416,1.3073866320503225,-0.020173067101680875,,
S2B4,2,4,1.5350242740253417,1.5699232184982153,-0.03489894447287357,,
S2B5,2,5,1.6358056875737363,1.4903992284812608,0.14540645909247552,,
S3B1,3,1,0.807026239146464,1.0198825675915002,-0.21285632844503607,,
S3B2,3,2,0.837000818615151,1.057818767966273,-0.2208179493511221,,
S3B3,3,3,1.1395087227079284,1.1427486247620833,-0.0032399020541548293,,
S3B4,3,4,1.2030339253857678,1.1720853555081763,0.030948569877591557,,
S3B5,3,5,1.302184718797938,1.5146169373180094,-0.21243221852007138,,
S4B1,4,1,0.6922568380126474,0.6759018880196356,0.016354949993011795,,
S4B2,4,2,0.700649347646922,0.8271862090873362,-0.12653686144041423,,
S4B3,4,3,0.9482789936001419,0.937894870519705,0.010384123080436902,,
S4B4,4,4,1.0937277880958007,1.1055206284798387,-0.011792840384037932,,
S4B5,4,5,0.9767768457705044,1.16872649660007,-0.1919496508295657,,
S5B1,5,1,0.4735907153810946,0.31162456058910215,0.16196615479199244,,
S5B2,5,2,0.7354866641360288,0.2477062072370364,0.4877804568989924,,
S5B3,5,3,0.5711390254326063,0.3624850983171471,0.20865392711545924,,
S5B4,5,4,0.7248505757908774,0.5449753704679013,0.17987520532297607,,
S5B5,5,5,0.7948041607829474,0.7461925482328969,0.048611612550050406,,
SUMMARY,,,,,,0.30646557808496927,0.22333558409137344
