factor,mean_monthly_pct,nw12_tstat,signif,n_months
MKT_RF,0.6741017412935331,1.3374168359799707,,402
SMB,0.8602136964889755,3.121158984173973,***,402
HML,0.417499207324482,1.6436889911123083,,402
