portfolio,size_quintile,bm_quintile,alpha_pct,nw12_t_alpha,beta_mkt,nw12_t_mkt,r2,n_months
S1B1,1,1,0.9356450816258053,1.7256970954767314,1.2479999631380037,9.490748267468192,0.8225344536436766,189
S1B2,1,2,1.0705969709610617,2.2541930497956515,1.0366027515424339,36.06751812480317,0.8125429790644395,201
S1B3,1,3,1.1674939393711934,2.2971996053991455,0.9692431606230333,19.590807730770866,0.7536852619395521,201
S1B4,1,4,2.3811332541790833,2.9901492501109734,1.0409198676211673,24.368006701650106,0.732985885225057,213
S1B5,1,5,1.9456517675046938,3.126599307303863,1.0857620090857856,36.66989230142196,0.7671006368759548,213
S2B1,2,1,0.043116099952500084,0.08840448835365909,1.0564703672508853,27.319231366969795,0.8359765540038627,189
S2B2,2,2,0.6710063586557362,1.8035853819867478,1.0807069872449466,21.600836383453693,0.8587932046540855,201
S2B3,2,3,0.8067909247717263,1.862513926130622,0.9469471782327057,11.541988355650508,0.792166618623231,213
S2B4,2,4,0.8860054420514611,2.5113750209996657,1.067744723450396,28.714281383445005,0.8326647024891854,189
S2B5,2,5,1.230963451323231,2.933358098115568,1.0785450381669979,37.54089992490436,0.8123763172153586,201
S3B1,3,1,-0.20931116332287072,-0.5155812373640947,1.1006540330644994,16.64513334451609,0.8403128287519674,213
S3B2,3,2,0.7004617098269151,1.6390279481753935,1.030657739585579,59.25167331314921,0.842973453946226,213
S3B3,3,3,0.5201678025486237,1.5424820660829033,1.0640026001095835,19.669207277839053,0.8625957854042605,201
S3B4,3,4,0.9378364694267015,2.6173767392145817,0.9899642825145905,33.48030679562194,0.8423319689698547,201
S3B5,3,5,0.8587846339473866,2.1493082843554396,0.9761220126254206,13.64813983170549,0.7728431773591495,201
S4B1,4,1,-0.1756861156587578,-0.46013008957113,1.1302579980158067,17.94651566302567,0.8445056957628225,213
S4B2,4,2,-0.24456802522648857,-0.7280102540426864,0.8484299128212037,14.543477817794463,0.8534294210434272,201
S4B3,4,3,0.0578250340092212,0.23012904512669202,0.9462871693184148,21.342679370798592,0.8635162106587232,201
S4B4,4,4,0.5581713439355438,1.7079659257616595,0.9004657732415109,10.17350984157383,0.8302642508553082,201
S4B5,4,5,0.50815537557949,1.725101537456525,0.9311130686573283,12.85113711221908,0.8418358538806937,201
S5B1,5,1,-0.3971476901839924,-1.2007721738260173,1.0418021307435914,5.308897741922465,0.787843905399507,213
S5B2,5,2,-0.02739651608551748,-0.07871162194833402,0.7797956977808543,10.788299218220345,0.7866857187938893,213
S5B3,5,3,-0.0029053673786239714,-0.011457131392156,0.9022481209421581,18.927675456191473,0.8763961151640672,213
S5B4,5,4,0.3021988069269822,0.8340297520609696,0.8550506705759271,10.7078248720416,0.7982042883376642,213
S5B5,5,5,0.12174273906258373,0.2618579797772297,0.9435115152133693,27.372750842954723,0.8550185798206417,201
