size_quintile,bm_quintile,avg_excess_return_pct,avg_n_stocks
1,1,2.7857799349151464,43.87323943661972
1,2,2.060322586332252,35.78403755868545
1,3,2.0929060918708484,37.671361502347416
1,4,3.3862420574906675,35.67605633802817
1,5,2.994059995245974,24.971830985915492
2,1,1.6093121781987876,26.830985915492956
2,2,1.7028417328098295,35.816901408450704
2,3,1.721160008040247,38.901408450704224
2,4,2.4689155266833454,38.098591549295776
2,5,2.260734643823947,32.99530516431925
3,1,0.8534767538313316,26.92488262910798
3,2,1.6956614360326392,31.206572769953052
3,3,1.5360541935340484,32.68075117370892
3,4,1.8830326955117174,33.51173708920188
3,5,2.2863043158381706,38.056338028169016
4,1,0.9156872927624012,29.539906103286384
4,2,0.5654942829400907,30.84037558685446
4,3,0.9613193085304391,28.35211267605634
4,4,1.4179163525379703,30.023474178403756
4,5,1.39716175095887,35.352112676056336
5,1,0.6088130234991486,34.52582159624413
5,2,0.7255716469828097,28.769953051643192
5,3,0.8683024530684544,24.887323943661972
5,4,1.1278329244094196,25.474178403755868
5,5,1.0225868798048918,30.676056338028168
