portfolio,alpha_pct,nw12_t_alpha,abs_alpha_pct
S1B1,0.49802456615242924,1.7228010682095556,0.49802456615242924
S1B2,0.4330957740825323,1.5697702966184939,0.4330957740825323
S1B3,0.013207097314863142,0.0406513812514864,0.013207097314863142
S1B4,1.1535978144462489,2.2136197370648247,1.1535978144462489
S1B5,0.7082099412491559,1.6486290429312471,0.7082099412491559
S2B1,-0.26566871151604937,-1.059613503634496,0.26566871151604937
S2B2,0.14532002856859597,0.7719059802633585,0.14532002856859597
S2B3,-0.04154200646197966,-0.11067984159906374,0.04154200646197966
S2B4,-0.14711662093600777,-0.7373552905701839,0.14711662093600777
S2B5,0.018061492981260165,0.0854295885381728,0.018061492981260165
S3B1,-0.42596150137491057,-2.0577864861404525,0.42596150137491057
S3B2,0.24976996389755676,0.691370873187712,0.24976996389755676
S3B3,0.010036220617755214,0.02982835685123509,0.010036220617755214
S3B4,0.20284989216144833,0.7204764035233129,0.20284989216144833
S3B5,-0.2133247274755436,-0.9728904886250964,0.2133247274755436
S4B1,-0.22726426440538225,-0.921987248737831,0.22726426440538225
S4B2,-0.5179680458828541,-1.4642852438712877,0.5179680458828541
S4B3,-0.20926805902160206,-0.7770052933259789,0.20926805902160206
S4B4,-0.06642908864611405,-0.2612034648032485,0.06642908864611405
S4B5,-0.23342149000437806,-1.2778192436614477,0.23342149000437806
S5B1,0.3039407744668259,0.707888589961848,0.3039407744668259
S5B2,0.43121472241500586,1.4009476211895227,0.43121472241500586
S5B3,0.3334835598275857,1.129505157875594,0.3334835598275857
S5B4,0.5034267136300152,1.2482718522693463,0.5034267136300152
S5B5,-0.06331801241835351,-0.22327245722922565,0.06331801241835351
