metric,value
n_portfolios,25
n_sig_10pct,4
n_sig_5pct,2
n_sig_1pct,0
mean_alpha_pct,0.1037182413467241
mean_abs_alpha_pct,0.2966208435981781
max_abs_alpha_pct,1.1535978144462489
joint_test_note,GRS not implemented; diagnostics shown as FF1993 Table 9 analogue.
